gnl|ECaadb|1002|NP_415616.1	gnl|RZaadb|5329	NP_415616.1
gnl|ECaadb|1192|NP_415818.1	gnl|RZaadb|3536	NP_415818.1
gnl|ECaadb|119|NP_414670.1	gnl|RZaadb|546	NP_414670.1
gnl|ECaadb|1202|NP_415828.1	gnl|RZaadb|5716	NP_415828.1
gnl|ECaadb|1210|NP_415837.1	gnl|RZaadb|5338	NP_415837.1
gnl|ECaadb|1214|NP_415841.4	gnl|RZaadb|1312	NP_415841.4
gnl|ECaadb|1217|NP_415844.1	gnl|RZaadb|1316	NP_415844.1
gnl|ECaadb|1224|NP_415851.1	gnl|RZaadb|4532	NP_415851.1
gnl|ECaadb|1227|NP_415854.4	gnl|RZaadb|4853	NP_415854.4
gnl|ECaadb|1233|NP_415860.1	gnl|RZaadb|1308	NP_415860.1
gnl|ECaadb|124|NP_414675.1	gnl|RZaadb|3647	NP_414675.1
gnl|ECaadb|1257|NP_415894.4	gnl|RZaadb|1173	NP_415894.4
gnl|ECaadb|1274|NP_415911.1	gnl|RZaadb|3356	NP_415911.1
gnl|ECaadb|1278|NP_415915.1	gnl|RZaadb|4585	NP_415915.1
gnl|ECaadb|1281|NP_415918.1	gnl|RZaadb|2215	NP_415918.1
gnl|ECaadb|1285|NP_415924.1	gnl|RZaadb|4879	NP_415924.1
gnl|ECaadb|1287|NP_415926.4	gnl|RZaadb|2433	NP_415926.4
gnl|ECaadb|1288|NP_415927.1	gnl|RZaadb|3805	NP_415927.1
gnl|ECaadb|1289|NP_415928.1	gnl|RZaadb|2432	NP_415928.1
gnl|ECaadb|1290|NP_415929.1	gnl|RZaadb|2431	NP_415929.1
gnl|ECaadb|1291|NP_415930.1	gnl|RZaadb|1238	NP_415930.1
gnl|ECaadb|1299|NP_415939.2	gnl|RZaadb|5713	NP_415939.2
gnl|ECaadb|1300|NP_415940.1	gnl|RZaadb|4315	NP_415940.1
gnl|ECaadb|1309|NP_415950.4	gnl|RZaadb|2393	NP_415950.4
gnl|ECaadb|1315|NP_415956.1	gnl|RZaadb|5366	NP_415956.1
gnl|ECaadb|1316|NP_415957.1	gnl|RZaadb|1514	NP_415957.1
gnl|ECaadb|1317|NP_415958.1	gnl|RZaadb|1515	NP_415958.1
gnl|ECaadb|1318|NP_415959.1	gnl|RZaadb|1516	NP_415959.1
gnl|ECaadb|1319|NP_415960.1	gnl|RZaadb|522	NP_415960.1
gnl|ECaadb|1320|NP_415961.1	gnl|RZaadb|5138	NP_415961.1
gnl|ECaadb|1324|NP_415965.1	gnl|RZaadb|2897	NP_415965.1
gnl|ECaadb|1329|NP_415970.4	gnl|RZaadb|4665	NP_415970.4
gnl|ECaadb|1348|NP_415995.4	gnl|RZaadb|4959	NP_415995.4
gnl|ECaadb|1352|NP_415999.1	gnl|RZaadb|97	NP_415999.1
gnl|ECaadb|1371|NP_416018.1	gnl|RZaadb|4088	NP_416018.1
gnl|ECaadb|1382|NP_416033.1	gnl|RZaadb|1006	NP_416033.1
gnl|ECaadb|1385|NP_416036.1	gnl|RZaadb|1168	NP_416036.1
gnl|ECaadb|1389|NP_416041.1	gnl|RZaadb|916	NP_416041.1
gnl|ECaadb|1391|NP_416043.1	gnl|RZaadb|4042	NP_416043.1
gnl|ECaadb|139|NP_414690.4	gnl|RZaadb|1030	NP_414690.4
gnl|ECaadb|13|NP_414555.1	gnl|RZaadb|228	NP_414555.1
gnl|ECaadb|1403|NP_416056.1	gnl|RZaadb|4389	NP_416056.1
gnl|ECaadb|1404|NP_416057.1	gnl|RZaadb|4896	NP_416057.1
gnl|ECaadb|1407|NP_416060.1	gnl|RZaadb|3540	NP_416060.1
gnl|ECaadb|141|NP_414692.1	gnl|RZaadb|4130	NP_414692.1
gnl|ECaadb|142|NP_414693.1	gnl|RZaadb|1655	NP_414693.1
gnl|ECaadb|1439|NP_416099.1	gnl|RZaadb|5458	NP_416099.1
gnl|ECaadb|144|NP_414695.1	gnl|RZaadb|4126	NP_414695.1
gnl|ECaadb|1453|NP_416113.1	gnl|RZaadb|5539	NP_416113.1
gnl|ECaadb|1459|NP_416119.1	gnl|RZaadb|5107	NP_416119.1
gnl|ECaadb|1468|NP_416128.1	gnl|RZaadb|2016	NP_416128.1
gnl|ECaadb|1469|NP_416129.1	gnl|RZaadb|2018	NP_416129.1
gnl|ECaadb|1480|NP_416140.1	gnl|RZaadb|3450	NP_416140.1
gnl|ECaadb|1492|NP_416152.1	gnl|RZaadb|5470	NP_416152.1
gnl|ECaadb|1494|NP_416154.1	gnl|RZaadb|391	NP_416154.1
gnl|ECaadb|1495|NP_416155.1	gnl|RZaadb|1151	NP_416155.1
gnl|ECaadb|1497|NP_416157.1	gnl|RZaadb|1960	NP_416157.1
gnl|ECaadb|1498|NP_416159.2	gnl|RZaadb|2566	NP_416159.2
gnl|ECaadb|14|NP_414556.1	gnl|RZaadb|229	NP_414556.1
gnl|ECaadb|1505|NP_416167.1	gnl|RZaadb|5388	NP_416167.1
gnl|ECaadb|1506|NP_416168.1	gnl|RZaadb|420	NP_416168.1
gnl|ECaadb|1509|NP_416171.1	gnl|RZaadb|1303	NP_416171.1
gnl|ECaadb|1511|NP_416173.1	gnl|RZaadb|2910	NP_416173.1
gnl|ECaadb|1513|NP_416175.1	gnl|RZaadb|3019	NP_416175.1
gnl|ECaadb|1514|NP_416176.1	gnl|RZaadb|3232	NP_416176.1
gnl|ECaadb|1515|NP_416178.1	gnl|RZaadb|1710	NP_416178.1
gnl|ECaadb|1516|NP_416179.1	gnl|RZaadb|1205	NP_416179.1
gnl|ECaadb|152|NP_414703.1	gnl|RZaadb|5188	NP_414703.1
gnl|ECaadb|1530|NP_416194.1	gnl|RZaadb|5466	NP_416194.1
gnl|ECaadb|1531|NP_416195.1	gnl|RZaadb|1953	NP_416195.1
gnl|ECaadb|1533|NP_416197.1	gnl|RZaadb|1955	NP_416197.1
gnl|ECaadb|1534|NP_416198.2	gnl|RZaadb|389	NP_416198.2
gnl|ECaadb|1538|NP_416202.1	gnl|RZaadb|4040	NP_416202.1
gnl|ECaadb|1543|NP_416207.1	gnl|RZaadb|4272	NP_416207.1
gnl|ECaadb|1545|NP_416209.1	gnl|RZaadb|2590	NP_416209.1
gnl|ECaadb|1546|NP_416210.4	gnl|RZaadb|4947	NP_416210.4
gnl|ECaadb|1551|NP_416215.1	gnl|RZaadb|551	NP_416215.1
gnl|ECaadb|1552|NP_416216.5	gnl|RZaadb|3058	NP_416216.5
gnl|ECaadb|1557|NP_416221.1	gnl|RZaadb|5469	NP_416221.1
gnl|ECaadb|1561|NP_416225.1	gnl|RZaadb|5434	NP_416225.1
gnl|ECaadb|1563|NP_416227.1	gnl|RZaadb|2735	NP_416227.1
gnl|ECaadb|1564|NP_416228.1	gnl|RZaadb|3421	NP_416228.1
gnl|ECaadb|1565|NP_416229.1	gnl|RZaadb|3422	NP_416229.1
gnl|ECaadb|1567|NP_416231.1	gnl|RZaadb|311	NP_416231.1
gnl|ECaadb|1569|NP_416233.1	gnl|RZaadb|6078	NP_416233.1
gnl|ECaadb|156|NP_414708.1	gnl|RZaadb|3322	NP_414708.1
gnl|ECaadb|1570|NP_416234.1	gnl|RZaadb|1924	NP_416234.1
gnl|ECaadb|157|NP_414709.1	gnl|RZaadb|3342	NP_414709.1
gnl|ECaadb|1588|NP_416254.1	gnl|RZaadb|2914	NP_416254.1
gnl|ECaadb|158|NP_414710.1	gnl|RZaadb|310	NP_414710.1
gnl|ECaadb|1597|NP_416263.1	gnl|RZaadb|1252	NP_416263.1
gnl|ECaadb|159|NP_414711.1	gnl|RZaadb|674	NP_414711.1
gnl|ECaadb|1607|NP_416273.1	gnl|RZaadb|1527	NP_416273.1
gnl|ECaadb|160|NP_414712.1	gnl|RZaadb|742	NP_414712.1
gnl|ECaadb|1613|NP_416279.1	gnl|RZaadb|1923	NP_416279.1
gnl|ECaadb|1616|NP_416282.4	gnl|RZaadb|5856	NP_416282.4
gnl|ECaadb|161|NP_414713.1	gnl|RZaadb|557	NP_414713.1
gnl|ECaadb|1622|NP_416288.1	gnl|RZaadb|4624	NP_416288.1
gnl|ECaadb|1626|NP_416292.1	gnl|RZaadb|2890	NP_416292.1
gnl|ECaadb|1629|NP_416295.1	gnl|RZaadb|1371	NP_416295.1
gnl|ECaadb|162|NP_414714.1	gnl|RZaadb|558	NP_414714.1
gnl|ECaadb|1631|NP_416297.1	gnl|RZaadb|268	NP_416297.1
gnl|ECaadb|1632|NP_416298.1	gnl|RZaadb|2281	NP_416298.1
gnl|ECaadb|1638|NP_416304.1	gnl|RZaadb|3731	NP_416304.1
gnl|ECaadb|1639|NP_416305.1	gnl|RZaadb|3368	NP_416305.1
gnl|ECaadb|163|NP_414715.1	gnl|RZaadb|4433	NP_414715.1
gnl|ECaadb|1640|NP_416306.2	gnl|RZaadb|4097	NP_416306.2
gnl|ECaadb|1648|NP_416314.1	gnl|RZaadb|4051	NP_416314.1
gnl|ECaadb|164|NP_414716.1	gnl|RZaadb|1788	NP_414716.1
gnl|ECaadb|1653|NP_416319.1	gnl|RZaadb|3288	NP_416319.1
gnl|ECaadb|1657|NP_416323.4	gnl|RZaadb|77	NP_416323.4
gnl|ECaadb|1671|NP_416337.1	gnl|RZaadb|4	NP_416337.1
gnl|ECaadb|1676|NP_416342.4	gnl|RZaadb|5954	NP_416342.4
gnl|ECaadb|1678|NP_416344.1	gnl|RZaadb|4558	NP_416344.1
gnl|ECaadb|1692|NP_416359.1	gnl|RZaadb|2902	NP_416359.1
gnl|ECaadb|1697|NP_416364.1	gnl|RZaadb|5126	NP_416364.1
gnl|ECaadb|1698|NP_416365.1	gnl|RZaadb|3176	NP_416365.1
gnl|ECaadb|1699|NP_416366.1	gnl|RZaadb|297	NP_416366.1
gnl|ECaadb|169|NP_414721.1	gnl|RZaadb|1792	NP_414721.1
gnl|ECaadb|1700|NP_416367.1	gnl|RZaadb|4681	NP_416367.1
gnl|ECaadb|1701|NP_416368.1	gnl|RZaadb|1500	NP_416368.1
gnl|ECaadb|1704|NP_416371.4	gnl|RZaadb|2219	NP_416371.4
gnl|ECaadb|1706|NP_416373.1	gnl|RZaadb|1357	NP_416373.1
gnl|ECaadb|1707|NP_416374.1	gnl|RZaadb|5036	NP_416374.1
gnl|ECaadb|170|NP_414722.1	gnl|RZaadb|559	NP_414722.1
gnl|ECaadb|1711|NP_416378.1	gnl|RZaadb|1481	NP_416378.1
gnl|ECaadb|1713|NP_416380.1	gnl|RZaadb|5448	NP_416380.1
gnl|ECaadb|1719|NP_416386.4	gnl|RZaadb|4162	NP_416386.4
gnl|ECaadb|171|NP_414723.1	gnl|RZaadb|1793	NP_414723.1
gnl|ECaadb|1726|NP_416394.1	gnl|RZaadb|5517	NP_416394.1
gnl|ECaadb|1729|NP_416397.1	gnl|RZaadb|1497	NP_416397.1
gnl|ECaadb|172|NP_414724.1	gnl|RZaadb|1795	NP_414724.1
gnl|ECaadb|1730|NP_416398.1	gnl|RZaadb|1104	NP_416398.1
gnl|ECaadb|1733|NP_416401.1	gnl|RZaadb|866	NP_416401.1
gnl|ECaadb|1736|NP_416404.1	gnl|RZaadb|1108	NP_416404.1
gnl|ECaadb|1742|NP_416410.1	gnl|RZaadb|3290	NP_416410.1
gnl|ECaadb|1744|NP_416413.1	gnl|RZaadb|5157	NP_416413.1
gnl|ECaadb|1745|NP_416414.1	gnl|RZaadb|5158	NP_416414.1
gnl|ECaadb|174|NP_414726.1	gnl|RZaadb|2625	NP_414726.1
gnl|ECaadb|1754|NP_416423.4	gnl|RZaadb|2772	NP_416423.4
gnl|ECaadb|1755|NP_416424.1	gnl|RZaadb|1230	NP_416424.1
gnl|ECaadb|1759|NP_416428.1	gnl|RZaadb|5681	NP_416428.1
gnl|ECaadb|175|NP_414727.1	gnl|RZaadb|4456	NP_414727.1
gnl|ECaadb|1761|NP_416430.1	gnl|RZaadb|4344	NP_416430.1
gnl|ECaadb|176|NP_414728.1	gnl|RZaadb|3520	NP_414728.1
gnl|ECaadb|1777|NP_416451.1	gnl|RZaadb|6013	NP_416451.1
gnl|ECaadb|1784|NP_416458.1	gnl|RZaadb|205	NP_416458.1
gnl|ECaadb|1797|NP_416471.1	gnl|RZaadb|5460	NP_416471.1
gnl|ECaadb|1810|NP_416489.1	gnl|RZaadb|1187	NP_416489.1
gnl|ECaadb|1814|NP_416493.1	gnl|RZaadb|4895	NP_416493.1
gnl|ECaadb|1818|NP_416497.1	gnl|RZaadb|2092	NP_416497.1
gnl|ECaadb|181|NP_414733.1	gnl|RZaadb|1017	NP_414733.1
gnl|ECaadb|1829|NP_416514.4	gnl|RZaadb|6108	NP_416514.4
gnl|ECaadb|1836|NP_416521.2	gnl|RZaadb|942	NP_416521.2
gnl|ECaadb|1839|NP_416524.1	gnl|RZaadb|3240	NP_416524.1
gnl|ECaadb|1842|NP_416527.1	gnl|RZaadb|1022	NP_416527.1
gnl|ECaadb|1843|NP_416528.2	gnl|RZaadb|1020	NP_416528.2
gnl|ECaadb|1844|NP_416529.1	gnl|RZaadb|1019	NP_416529.1
gnl|ECaadb|1848|NP_416533.1	gnl|RZaadb|5349	NP_416533.1
gnl|ECaadb|1856|NP_416542.1	gnl|RZaadb|1206	NP_416542.1
gnl|ECaadb|1857|NP_416543.1	gnl|RZaadb|2747	NP_416543.1
gnl|ECaadb|1858|NP_416544.1	gnl|RZaadb|2746	NP_416544.1
gnl|ECaadb|1862|NP_416548.1	gnl|RZaadb|6134	NP_416548.1
gnl|ECaadb|1867|NP_416553.1	gnl|RZaadb|4184	NP_416553.1
gnl|ECaadb|1870|NP_416556.1	gnl|RZaadb|3131	NP_416556.1
gnl|ECaadb|1871|NP_416557.1	gnl|RZaadb|3132	NP_416557.1
gnl|ECaadb|1879|NP_416565.1	gnl|RZaadb|6112	NP_416565.1
gnl|ECaadb|187|NP_414739.1	gnl|RZaadb|3760	NP_414739.1
gnl|ECaadb|188|NP_414740.1	gnl|RZaadb|3762	NP_414740.1
gnl|ECaadb|1893|NP_416579.1	gnl|RZaadb|2857	NP_416579.1
gnl|ECaadb|1897|NP_416583.1	gnl|RZaadb|4872	NP_416583.1
gnl|ECaadb|189|NP_414741.1	gnl|RZaadb|3761	NP_414741.1
gnl|ECaadb|1914|NP_416604.1	gnl|RZaadb|2322	NP_416604.1
gnl|ECaadb|1916|NP_416606.1	gnl|RZaadb|4655	NP_416606.1
gnl|ECaadb|192|NP_414744.1	gnl|RZaadb|2275	NP_414744.1
gnl|ECaadb|1938|NP_416633.1	gnl|RZaadb|1076	NP_416633.1
gnl|ECaadb|1940|NP_416635.1	gnl|RZaadb|3284	NP_416635.1
gnl|ECaadb|1946|NP_416641.1	gnl|RZaadb|173	NP_416641.1
gnl|ECaadb|1953|NP_416651.1	gnl|RZaadb|2515	NP_416651.1
gnl|ECaadb|1954|NP_416652.4	gnl|RZaadb|2516	NP_416652.4
gnl|ECaadb|1956|NP_416654.1	gnl|RZaadb|4354	NP_416654.1
gnl|ECaadb|1957|NP_416655.1	gnl|RZaadb|1569	NP_416655.1
gnl|ECaadb|196|NP_414748.1	gnl|RZaadb|4465	NP_414748.1
gnl|ECaadb|1972|NP_416670.1	gnl|RZaadb|1987	NP_416670.1
gnl|ECaadb|1984|NP_416682.4	gnl|RZaadb|3460	NP_416682.4
gnl|ECaadb|1985|NP_416683.1	gnl|RZaadb|277	NP_416683.1
gnl|ECaadb|1986|NP_416684.1	gnl|RZaadb|3459	NP_416684.1
gnl|ECaadb|1987|NP_416685.1	gnl|RZaadb|3458	NP_416685.1
gnl|ECaadb|1989|NP_416687.1	gnl|RZaadb|1638	NP_416687.1
gnl|ECaadb|198|NP_414750.1	gnl|RZaadb|949	NP_414750.1
gnl|ECaadb|1997|NP_416697.1	gnl|RZaadb|4928	NP_416697.1
gnl|ECaadb|1999|NP_416699.1	gnl|RZaadb|4372	NP_416699.1
gnl|ECaadb|2000|NP_416700.1	gnl|RZaadb|5963	NP_416700.1
gnl|ECaadb|2001|NP_416701.1	gnl|RZaadb|6064	NP_416701.1
gnl|ECaadb|2003|NP_416703.1	gnl|RZaadb|5687	NP_416703.1
gnl|ECaadb|2005|NP_416705.2	gnl|RZaadb|4374	NP_416705.2
gnl|ECaadb|2016|NP_416716.1	gnl|RZaadb|858	NP_416716.1
gnl|ECaadb|2017|NP_416717.1	gnl|RZaadb|3319	NP_416717.1
gnl|ECaadb|2024|NP_416724.1	gnl|RZaadb|5072	NP_416724.1
gnl|ECaadb|2025|NP_416725.1	gnl|RZaadb|4583	NP_416725.1
gnl|ECaadb|2026|NP_416726.1	gnl|RZaadb|4584	NP_416726.1
gnl|ECaadb|2034|NP_416735.1	gnl|RZaadb|1523	NP_416735.1
gnl|ECaadb|2046|NP_416748.1	gnl|RZaadb|1659	NP_416748.1
gnl|ECaadb|2047|NP_416749.4	gnl|RZaadb|4056	NP_416749.4
gnl|ECaadb|204|NP_414757.1	gnl|RZaadb|4820	NP_414757.1
gnl|ECaadb|2054|NP_416756.6	gnl|RZaadb|1615	NP_416756.6
gnl|ECaadb|2068|NP_416770.1	gnl|RZaadb|1942	NP_416770.1
gnl|ECaadb|2077|NP_416779.2	gnl|RZaadb|1470	NP_416779.2
gnl|ECaadb|2078|NP_416780.1	gnl|RZaadb|2631	NP_416780.1
gnl|ECaadb|2083|NP_416785.1	gnl|RZaadb|2588	NP_416785.1
gnl|ECaadb|2085|NP_416787.1	gnl|RZaadb|2586	NP_416787.1
gnl|ECaadb|2086|NP_416788.1	gnl|RZaadb|5423	NP_416788.1
gnl|ECaadb|2090|NP_416792.1	gnl|RZaadb|1129	NP_416792.1
gnl|ECaadb|2094|NP_416796.2	gnl|RZaadb|2730	NP_416796.2
gnl|ECaadb|2103|NP_416805.1	gnl|RZaadb|3109	NP_416805.1
gnl|ECaadb|2107|NP_416809.1	gnl|RZaadb|4239	NP_416809.1
gnl|ECaadb|2110|NP_416812.1	gnl|RZaadb|4926	NP_416812.1
gnl|ECaadb|2113|NP_416815.1	gnl|RZaadb|2798	NP_416815.1
gnl|ECaadb|2117|NP_416819.1	gnl|RZaadb|1016	NP_416819.1
gnl|ECaadb|2119|NP_416821.1	gnl|RZaadb|3323	NP_416821.1
gnl|ECaadb|211|NP_414766.1	gnl|RZaadb|4205	NP_414766.1
gnl|ECaadb|2120|NP_416822.1	gnl|RZaadb|4291	NP_416822.1
gnl|ECaadb|2124|NP_416826.1	gnl|RZaadb|1037	NP_416826.1
gnl|ECaadb|2128|NP_416830.1	gnl|RZaadb|2089	NP_416830.1
gnl|ECaadb|2130|NP_416832.1	gnl|RZaadb|5496	NP_416832.1
gnl|ECaadb|2140|NP_416843.1	gnl|RZaadb|3250	NP_416843.1
gnl|ECaadb|2149|NP_416852.1	gnl|RZaadb|2245	NP_416852.1
gnl|ECaadb|214|NP_414769.1	gnl|RZaadb|1306	NP_414769.1
gnl|ECaadb|2160|NP_416867.1	gnl|RZaadb|5925	NP_416867.1
gnl|ECaadb|2165|NP_416872.4	gnl|RZaadb|2311	NP_416872.4
gnl|ECaadb|216|NP_414773.1	gnl|RZaadb|921	NP_414773.1
gnl|ECaadb|2173|NP_416880.1	gnl|RZaadb|5302	NP_416880.1
gnl|ECaadb|2182|NP_416889.1	gnl|RZaadb|3462	NP_416889.1
gnl|ECaadb|2185|NP_416893.1	gnl|RZaadb|3084	NP_416893.1
gnl|ECaadb|2191|NP_416899.1	gnl|RZaadb|5136	NP_416899.1
gnl|ECaadb|2197|NP_416905.1	gnl|RZaadb|5086	NP_416905.1
gnl|ECaadb|2198|NP_416906.1	gnl|RZaadb|2293	NP_416906.1
gnl|ECaadb|219|NP_414777.1	gnl|RZaadb|5676	NP_414777.1
gnl|ECaadb|2201|NP_416909.1	gnl|RZaadb|3376	NP_416909.1
gnl|ECaadb|2205|NP_416913.1	gnl|RZaadb|377	NP_416913.1
gnl|ECaadb|220|NP_414778.1	gnl|RZaadb|4302	NP_414778.1
gnl|ECaadb|2210|NP_416919.1	gnl|RZaadb|4617	NP_416919.1
gnl|ECaadb|2212|NP_416921.4	gnl|RZaadb|5154	NP_416921.4
gnl|ECaadb|2222|NP_416931.1	gnl|RZaadb|2385	NP_416931.1
gnl|ECaadb|2249|NP_416958.1	gnl|RZaadb|2001	NP_416958.1
gnl|ECaadb|2253|NP_416962.1	gnl|RZaadb|1201	NP_416962.1
gnl|ECaadb|2257|NP_416966.1	gnl|RZaadb|3403	NP_416966.1
gnl|ECaadb|2258|NP_416967.1	gnl|RZaadb|5537	NP_416967.1
gnl|ECaadb|2261|NP_416970.1	gnl|RZaadb|1405	NP_416970.1
gnl|ECaadb|2262|NP_416971.1	gnl|RZaadb|449	NP_416971.1
gnl|ECaadb|2264|NP_416973.1	gnl|RZaadb|2826	NP_416973.1
gnl|ECaadb|2266|NP_416975.1	gnl|RZaadb|5335	NP_416975.1
gnl|ECaadb|2284|NP_416993.2	gnl|RZaadb|362	NP_416993.2
gnl|ECaadb|2285|NP_416994.1	gnl|RZaadb|2767	NP_416994.1
gnl|ECaadb|2286|NP_416995.1	gnl|RZaadb|2768	NP_416995.1
gnl|ECaadb|2287|NP_416996.1	gnl|RZaadb|291	NP_416996.1
gnl|ECaadb|2293|NP_417002.1	gnl|RZaadb|3394	NP_417002.1
gnl|ECaadb|2294|NP_417003.1	gnl|RZaadb|1126	NP_417003.1
gnl|ECaadb|2297|NP_417006.2	gnl|RZaadb|1425	NP_417006.2
gnl|ECaadb|2301|NP_417010.1	gnl|RZaadb|4340	NP_417010.1
gnl|ECaadb|2303|NP_417012.1	gnl|RZaadb|1555	NP_417012.1
gnl|ECaadb|2304|NP_417013.1	gnl|RZaadb|660	NP_417013.1
gnl|ECaadb|2307|NP_417016.4	gnl|RZaadb|1707	NP_417016.4
gnl|ECaadb|2314|NP_417023.1	gnl|RZaadb|1301	NP_417023.1
gnl|ECaadb|2317|NP_417027.1	gnl|RZaadb|1980	NP_417027.1
gnl|ECaadb|2318|NP_417028.1	gnl|RZaadb|1495	NP_417028.1
gnl|ECaadb|2325|NP_417035.1	gnl|RZaadb|4716	NP_417035.1
gnl|ECaadb|2327|NP_417037.1	gnl|RZaadb|2829	NP_417037.1
gnl|ECaadb|2329|NP_417039.1	gnl|RZaadb|5155	NP_417039.1
gnl|ECaadb|2336|NP_417046.1	gnl|RZaadb|1204	NP_417046.1
gnl|ECaadb|2338|NP_417048.1	gnl|RZaadb|2	NP_417048.1
gnl|ECaadb|2347|NP_417058.1	gnl|RZaadb|370	NP_417058.1
gnl|ECaadb|2348|NP_417059.1	gnl|RZaadb|2257	NP_417059.1
gnl|ECaadb|2350|NP_417061.1	gnl|RZaadb|2825	NP_417061.1
gnl|ECaadb|2351|NP_417062.1	gnl|RZaadb|371	NP_417062.1
gnl|ECaadb|2352|NP_417063.1	gnl|RZaadb|1192	NP_417063.1
gnl|ECaadb|2353|NP_417064.1	gnl|RZaadb|3431	NP_417064.1
gnl|ECaadb|2358|NP_417069.1	gnl|RZaadb|4713	NP_417069.1
gnl|ECaadb|235|NP_414796.2	gnl|RZaadb|1862	NP_414796.2
gnl|ECaadb|2362|NP_417073.1	gnl|RZaadb|2266	NP_417073.1
gnl|ECaadb|2364|NP_417075.1	gnl|RZaadb|2494	NP_417075.1
