gnl|ECaadb|1002	gnl|RZaadb|5329
gnl|ECaadb|1287	gnl|RZaadb|2433
gnl|ECaadb|1288	gnl|RZaadb|3805
gnl|ECaadb|1289	gnl|RZaadb|2432
gnl|ECaadb|1290	gnl|RZaadb|2431
gnl|ECaadb|1291	gnl|RZaadb|1238
gnl|ECaadb|1299	gnl|RZaadb|5713
gnl|ECaadb|1300	gnl|RZaadb|4315
gnl|ECaadb|1309	gnl|RZaadb|2393
gnl|ECaadb|1315	gnl|RZaadb|5366
gnl|ECaadb|1316	gnl|RZaadb|1514
gnl|ECaadb|1317	gnl|RZaadb|1515
gnl|ECaadb|1318	gnl|RZaadb|1516
gnl|ECaadb|1319	gnl|RZaadb|522
gnl|ECaadb|1320	gnl|RZaadb|5138
gnl|ECaadb|1324	gnl|RZaadb|2897
gnl|ECaadb|1329	gnl|RZaadb|4665
gnl|ECaadb|1348	gnl|RZaadb|4959
gnl|ECaadb|1352	gnl|RZaadb|97
gnl|ECaadb|1371	gnl|RZaadb|4088
gnl|ECaadb|1382	gnl|RZaadb|1006
gnl|ECaadb|1385	gnl|RZaadb|1168
gnl|ECaadb|1389	gnl|RZaadb|916
gnl|ECaadb|1391	gnl|RZaadb|4042
gnl|ECaadb|139	gnl|RZaadb|1030
gnl|ECaadb|13	gnl|RZaadb|228
gnl|ECaadb|1403	gnl|RZaadb|4389
gnl|ECaadb|1404	gnl|RZaadb|4896
gnl|ECaadb|1407	gnl|RZaadb|3540
gnl|ECaadb|141	gnl|RZaadb|4130
gnl|ECaadb|142	gnl|RZaadb|1655
gnl|ECaadb|1439	gnl|RZaadb|5458
gnl|ECaadb|144	gnl|RZaadb|4126
gnl|ECaadb|1453	gnl|RZaadb|5539
gnl|ECaadb|1459	gnl|RZaadb|5107
gnl|ECaadb|1468	gnl|RZaadb|2016
gnl|ECaadb|1469	gnl|RZaadb|2018
gnl|ECaadb|1480	gnl|RZaadb|3450
gnl|ECaadb|1492	gnl|RZaadb|5470
gnl|ECaadb|1494	gnl|RZaadb|391
gnl|ECaadb|1495	gnl|RZaadb|1151
gnl|ECaadb|1497	gnl|RZaadb|1960
gnl|ECaadb|1498	gnl|RZaadb|2566
gnl|ECaadb|14	gnl|RZaadb|229
gnl|ECaadb|1505	gnl|RZaadb|5388
gnl|ECaadb|1506	gnl|RZaadb|420
gnl|ECaadb|1509	gnl|RZaadb|1303
gnl|ECaadb|1511	gnl|RZaadb|2910
gnl|ECaadb|1513	gnl|RZaadb|3019
gnl|ECaadb|1514	gnl|RZaadb|3232
gnl|ECaadb|1515	gnl|RZaadb|1710
gnl|ECaadb|1516	gnl|RZaadb|1205
gnl|ECaadb|152	gnl|RZaadb|5188
gnl|ECaadb|1530	gnl|RZaadb|5466
gnl|ECaadb|1531	gnl|RZaadb|1953
gnl|ECaadb|1533	gnl|RZaadb|1955
gnl|ECaadb|1534	gnl|RZaadb|389
gnl|ECaadb|1538	gnl|RZaadb|4040
gnl|ECaadb|1543	gnl|RZaadb|4272
gnl|ECaadb|1545	gnl|RZaadb|2590
gnl|ECaadb|1546	gnl|RZaadb|4947
gnl|ECaadb|1551	gnl|RZaadb|551
gnl|ECaadb|1552	gnl|RZaadb|3058
gnl|ECaadb|1557	gnl|RZaadb|5469
gnl|ECaadb|1561	gnl|RZaadb|5434
gnl|ECaadb|1563	gnl|RZaadb|2735
gnl|ECaadb|1564	gnl|RZaadb|3421
gnl|ECaadb|1565	gnl|RZaadb|3422
gnl|ECaadb|1567	gnl|RZaadb|311
gnl|ECaadb|1569	gnl|RZaadb|6078
gnl|ECaadb|156	gnl|RZaadb|3322
gnl|ECaadb|1570	gnl|RZaadb|1924
gnl|ECaadb|157	gnl|RZaadb|3342
gnl|ECaadb|1588	gnl|RZaadb|2914
gnl|ECaadb|158	gnl|RZaadb|310
gnl|ECaadb|1597	gnl|RZaadb|1252
gnl|ECaadb|159	gnl|RZaadb|674
gnl|ECaadb|1607	gnl|RZaadb|1527
gnl|ECaadb|160	gnl|RZaadb|742
gnl|ECaadb|1613	gnl|RZaadb|1923
gnl|ECaadb|1616	gnl|RZaadb|5856
gnl|ECaadb|161	gnl|RZaadb|557
gnl|ECaadb|1622	gnl|RZaadb|4624
gnl|ECaadb|1626	gnl|RZaadb|2890
gnl|ECaadb|1629	gnl|RZaadb|1371
gnl|ECaadb|162	gnl|RZaadb|558
gnl|ECaadb|1631	gnl|RZaadb|268
gnl|ECaadb|1632	gnl|RZaadb|2281
gnl|ECaadb|1638	gnl|RZaadb|3731
gnl|ECaadb|1639	gnl|RZaadb|3368
gnl|ECaadb|163	gnl|RZaadb|4433
gnl|ECaadb|1640	gnl|RZaadb|4097
gnl|ECaadb|1648	gnl|RZaadb|4051
gnl|ECaadb|164	gnl|RZaadb|1788
gnl|ECaadb|1653	gnl|RZaadb|3288
gnl|ECaadb|1657	gnl|RZaadb|77
gnl|ECaadb|1671	gnl|RZaadb|4
gnl|ECaadb|1676	gnl|RZaadb|5954
gnl|ECaadb|1678	gnl|RZaadb|4558
gnl|ECaadb|1692	gnl|RZaadb|2902
gnl|ECaadb|1697	gnl|RZaadb|5126
gnl|ECaadb|1698	gnl|RZaadb|3176
gnl|ECaadb|1699	gnl|RZaadb|297
gnl|ECaadb|169	gnl|RZaadb|1792
gnl|ECaadb|1700	gnl|RZaadb|4681
gnl|ECaadb|1701	gnl|RZaadb|1500
gnl|ECaadb|1704	gnl|RZaadb|2219
gnl|ECaadb|1706	gnl|RZaadb|1357
gnl|ECaadb|1707	gnl|RZaadb|5036
gnl|ECaadb|170	gnl|RZaadb|559
gnl|ECaadb|1711	gnl|RZaadb|1481
gnl|ECaadb|1713	gnl|RZaadb|5448
gnl|ECaadb|1719	gnl|RZaadb|4162
gnl|ECaadb|171	gnl|RZaadb|1793
gnl|ECaadb|1726	gnl|RZaadb|5517
gnl|ECaadb|1729	gnl|RZaadb|1497
gnl|ECaadb|172	gnl|RZaadb|1795
gnl|ECaadb|1730	gnl|RZaadb|1104
gnl|ECaadb|1733	gnl|RZaadb|866
gnl|ECaadb|1736	gnl|RZaadb|1108
gnl|ECaadb|1742	gnl|RZaadb|3290
gnl|ECaadb|1744	gnl|RZaadb|5157
gnl|ECaadb|1745	gnl|RZaadb|5158
gnl|ECaadb|174	gnl|RZaadb|2625
gnl|ECaadb|1754	gnl|RZaadb|2772
gnl|ECaadb|1755	gnl|RZaadb|1230
gnl|ECaadb|1759	gnl|RZaadb|5681
gnl|ECaadb|175	gnl|RZaadb|4456
gnl|ECaadb|1761	gnl|RZaadb|4344
gnl|ECaadb|176	gnl|RZaadb|3520
gnl|ECaadb|1777	gnl|RZaadb|6013
gnl|ECaadb|1784	gnl|RZaadb|205
gnl|ECaadb|1797	gnl|RZaadb|5460
gnl|ECaadb|1810	gnl|RZaadb|1187
gnl|ECaadb|1814	gnl|RZaadb|4895
gnl|ECaadb|1818	gnl|RZaadb|2092
gnl|ECaadb|181	gnl|RZaadb|1017
gnl|ECaadb|1829	gnl|RZaadb|6108
gnl|ECaadb|1836	gnl|RZaadb|942
gnl|ECaadb|1839	gnl|RZaadb|3240
gnl|ECaadb|1842	gnl|RZaadb|1022
gnl|ECaadb|1843	gnl|RZaadb|1020
gnl|ECaadb|1844	gnl|RZaadb|1019
gnl|ECaadb|1848	gnl|RZaadb|5349
gnl|ECaadb|1856	gnl|RZaadb|1206
gnl|ECaadb|1857	gnl|RZaadb|2747
gnl|ECaadb|1858	gnl|RZaadb|2746
gnl|ECaadb|1862	gnl|RZaadb|6134
gnl|ECaadb|1867	gnl|RZaadb|4184
gnl|ECaadb|1870	gnl|RZaadb|3131
gnl|ECaadb|1871	gnl|RZaadb|3132
gnl|ECaadb|1879	gnl|RZaadb|6112
gnl|ECaadb|187	gnl|RZaadb|3760
gnl|ECaadb|188	gnl|RZaadb|3762
gnl|ECaadb|1893	gnl|RZaadb|2857
gnl|ECaadb|1897	gnl|RZaadb|4872
gnl|ECaadb|189	gnl|RZaadb|3761
gnl|ECaadb|1914	gnl|RZaadb|2322
gnl|ECaadb|1916	gnl|RZaadb|4655
gnl|ECaadb|192	gnl|RZaadb|2275
gnl|ECaadb|1938	gnl|RZaadb|1076
gnl|ECaadb|1940	gnl|RZaadb|3284
gnl|ECaadb|1946	gnl|RZaadb|173
gnl|ECaadb|1953	gnl|RZaadb|2515
gnl|ECaadb|1954	gnl|RZaadb|2516
gnl|ECaadb|1956	gnl|RZaadb|4354
gnl|ECaadb|1957	gnl|RZaadb|1569
gnl|ECaadb|196	gnl|RZaadb|4465
gnl|ECaadb|1972	gnl|RZaadb|1987
gnl|ECaadb|1984	gnl|RZaadb|3460
gnl|ECaadb|1985	gnl|RZaadb|277
gnl|ECaadb|1986	gnl|RZaadb|3459
gnl|ECaadb|1987	gnl|RZaadb|3458
gnl|ECaadb|1989	gnl|RZaadb|1638
gnl|ECaadb|198	gnl|RZaadb|949
gnl|ECaadb|1997	gnl|RZaadb|4928
gnl|ECaadb|1999	gnl|RZaadb|4372
gnl|ECaadb|2000	gnl|RZaadb|5963
gnl|ECaadb|2001	gnl|RZaadb|6064
gnl|ECaadb|2003	gnl|RZaadb|5687
gnl|ECaadb|2005	gnl|RZaadb|4374
gnl|ECaadb|2016	gnl|RZaadb|858
gnl|ECaadb|2017	gnl|RZaadb|3319
gnl|ECaadb|2024	gnl|RZaadb|5072
gnl|ECaadb|2025	gnl|RZaadb|4583
gnl|ECaadb|2026	gnl|RZaadb|4584
gnl|ECaadb|2034	gnl|RZaadb|1523
gnl|ECaadb|2046	gnl|RZaadb|1659
gnl|ECaadb|2047	gnl|RZaadb|4056
gnl|ECaadb|204	gnl|RZaadb|4820
gnl|ECaadb|2054	gnl|RZaadb|1615
gnl|ECaadb|2068	gnl|RZaadb|1942
gnl|ECaadb|2077	gnl|RZaadb|1470
gnl|ECaadb|2078	gnl|RZaadb|2631
gnl|ECaadb|2083	gnl|RZaadb|2588
gnl|ECaadb|2085	gnl|RZaadb|2586
gnl|ECaadb|2086	gnl|RZaadb|5423
gnl|ECaadb|2090	gnl|RZaadb|1129
gnl|ECaadb|2094	gnl|RZaadb|2730
gnl|ECaadb|2103	gnl|RZaadb|3109
gnl|ECaadb|2107	gnl|RZaadb|4239
gnl|ECaadb|2110	gnl|RZaadb|4926
gnl|ECaadb|2113	gnl|RZaadb|2798
gnl|ECaadb|2117	gnl|RZaadb|1016
gnl|ECaadb|2119	gnl|RZaadb|3323
gnl|ECaadb|211	gnl|RZaadb|4205
gnl|ECaadb|2120	gnl|RZaadb|4291
gnl|ECaadb|2124	gnl|RZaadb|1037
gnl|ECaadb|2128	gnl|RZaadb|2089
gnl|ECaadb|2130	gnl|RZaadb|5496
gnl|ECaadb|2140	gnl|RZaadb|3250
gnl|ECaadb|2149	gnl|RZaadb|2245
gnl|ECaadb|214	gnl|RZaadb|1306
gnl|ECaadb|2160	gnl|RZaadb|5925
gnl|ECaadb|2165	gnl|RZaadb|2311
gnl|ECaadb|216	gnl|RZaadb|921
gnl|ECaadb|2173	gnl|RZaadb|5302
gnl|ECaadb|2182	gnl|RZaadb|3462
gnl|ECaadb|2185	gnl|RZaadb|3084
gnl|ECaadb|2191	gnl|RZaadb|5136
gnl|ECaadb|2197	gnl|RZaadb|5086
gnl|ECaadb|2198	gnl|RZaadb|2293
gnl|ECaadb|219	gnl|RZaadb|5676
gnl|ECaadb|2201	gnl|RZaadb|3376
gnl|ECaadb|2205	gnl|RZaadb|377
gnl|ECaadb|220	gnl|RZaadb|4302
gnl|ECaadb|2210	gnl|RZaadb|4617
gnl|ECaadb|2212	gnl|RZaadb|5154
gnl|ECaadb|2222	gnl|RZaadb|2385
gnl|ECaadb|2249	gnl|RZaadb|2001
gnl|ECaadb|2253	gnl|RZaadb|1201
gnl|ECaadb|2257	gnl|RZaadb|3403
gnl|ECaadb|2258	gnl|RZaadb|5537
gnl|ECaadb|2261	gnl|RZaadb|1405
gnl|ECaadb|2262	gnl|RZaadb|449
gnl|ECaadb|2264	gnl|RZaadb|2826
gnl|ECaadb|2266	gnl|RZaadb|5335
gnl|ECaadb|2284	gnl|RZaadb|362
gnl|ECaadb|2285	gnl|RZaadb|2767
gnl|ECaadb|2286	gnl|RZaadb|2768
gnl|ECaadb|2287	gnl|RZaadb|291
gnl|ECaadb|2293	gnl|RZaadb|3394
gnl|ECaadb|2294	gnl|RZaadb|1126
gnl|ECaadb|2297	gnl|RZaadb|1425
gnl|ECaadb|2301	gnl|RZaadb|4340
gnl|ECaadb|2303	gnl|RZaadb|1555
gnl|ECaadb|2304	gnl|RZaadb|660
gnl|ECaadb|2307	gnl|RZaadb|1707
gnl|ECaadb|2314	gnl|RZaadb|1301
gnl|ECaadb|2317	gnl|RZaadb|1980
gnl|ECaadb|2318	gnl|RZaadb|1495
gnl|ECaadb|2325	gnl|RZaadb|4716
gnl|ECaadb|2327	gnl|RZaadb|2829
gnl|ECaadb|2329	gnl|RZaadb|5155
gnl|ECaadb|2336	gnl|RZaadb|1204
gnl|ECaadb|2338	gnl|RZaadb|2
gnl|ECaadb|2347	gnl|RZaadb|370
gnl|ECaadb|2348	gnl|RZaadb|2257
gnl|ECaadb|2350	gnl|RZaadb|2825
gnl|ECaadb|2351	gnl|RZaadb|371
gnl|ECaadb|2352	gnl|RZaadb|1192
gnl|ECaadb|2353	gnl|RZaadb|3431
gnl|ECaadb|2358	gnl|RZaadb|4713
gnl|ECaadb|235	gnl|RZaadb|1862
gnl|ECaadb|2362	gnl|RZaadb|2266
gnl|ECaadb|2364	gnl|RZaadb|2494
gnl|ECaadb|2372	gnl|RZaadb|4489
gnl|ECaadb|2373	gnl|RZaadb|2373
gnl|ECaadb|2374	gnl|RZaadb|5419
gnl|ECaadb|2386	gnl|RZaadb|4368
gnl|ECaadb|2389	gnl|RZaadb|4369
gnl|ECaadb|2395	gnl|RZaadb|1806
gnl|ECaadb|2396	gnl|RZaadb|367
gnl|ECaadb|23	gnl|RZaadb|5508
gnl|ECaadb|2419	gnl|RZaadb|4828
gnl|ECaadb|242	gnl|RZaadb|5986
gnl|ECaadb|2431	gnl|RZaadb|491
gnl|ECaadb|2432	gnl|RZaadb|5256
gnl|ECaadb|2433	gnl|RZaadb|5826
gnl|ECaadb|2434	gnl|RZaadb|5257
gnl|ECaadb|243	gnl|RZaadb|3094
gnl|ECaadb|2442	gnl|RZaadb|2564
gnl|ECaadb|2448	gnl|RZaadb|1985
gnl|ECaadb|244	gnl|RZaadb|3516
gnl|ECaadb|2450	gnl|RZaadb|443
gnl|ECaadb|2451	gnl|RZaadb|1272
gnl|ECaadb|2481	gnl|RZaadb|3340
gnl|ECaadb|2485	gnl|RZaadb|4059
gnl|ECaadb|2486	gnl|RZaadb|4054
gnl|ECaadb|2492	gnl|RZaadb|1745
gnl|ECaadb|2499	gnl|RZaadb|133
gnl|ECaadb|24	gnl|RZaadb|5507
gnl|ECaadb|2500	gnl|RZaadb|2963
gnl|ECaadb|2510	gnl|RZaadb|134
gnl|ECaadb|2513	gnl|RZaadb|5260
gnl|ECaadb|2525	gnl|RZaadb|561
gnl|ECaadb|2526	gnl|RZaadb|1915
gnl|ECaadb|2527	gnl|RZaadb|5929
gnl|ECaadb|2550	gnl|RZaadb|3278
gnl|ECaadb|2554	gnl|RZaadb|2466
gnl|ECaadb|2560	gnl|RZaadb|5428
gnl|ECaadb|2570	gnl|RZaadb|2285
gnl|ECaadb|2571	gnl|RZaadb|2371
gnl|ECaadb|2572	gnl|RZaadb|191
gnl|ECaadb|2573	gnl|RZaadb|4299
gnl|ECaadb|2577	gnl|RZaadb|2793
gnl|ECaadb|2580	gnl|RZaadb|345
gnl|ECaadb|2581	gnl|RZaadb|4471
gnl|ECaadb|2582	gnl|RZaadb|3572
gnl|ECaadb|2583	gnl|RZaadb|2250
gnl|ECaadb|2585	gnl|RZaadb|5901
gnl|ECaadb|2586	gnl|RZaadb|4687
gnl|ECaadb|2587	gnl|RZaadb|1574
gnl|ECaadb|25	gnl|RZaadb|3336
gnl|ECaadb|2603	gnl|RZaadb|5328
gnl|ECaadb|2605	gnl|RZaadb|2539
gnl|ECaadb|2615	gnl|RZaadb|2428
gnl|ECaadb|2620	gnl|RZaadb|1513
gnl|ECaadb|2621	gnl|RZaadb|1224
gnl|ECaadb|2622	gnl|RZaadb|1771
gnl|ECaadb|2624	gnl|RZaadb|5699
gnl|ECaadb|2629	gnl|RZaadb|364
gnl|ECaadb|2632	gnl|RZaadb|4413
gnl|ECaadb|2633	gnl|RZaadb|1949
gnl|ECaadb|2634	gnl|RZaadb|838
gnl|ECaadb|2635	gnl|RZaadb|1948
gnl|ECaadb|2636	gnl|RZaadb|4361
gnl|ECaadb|2643	gnl|RZaadb|2013
gnl|ECaadb|2644	gnl|RZaadb|2096
gnl|ECaadb|2645	gnl|RZaadb|3763
gnl|ECaadb|2650	gnl|RZaadb|2336
gnl|ECaadb|2651	gnl|RZaadb|851
gnl|ECaadb|2654	gnl|RZaadb|5047
gnl|ECaadb|2655	gnl|RZaadb|5837
gnl|ECaadb|2656	gnl|RZaadb|3296
gnl|ECaadb|2662	gnl|RZaadb|5437
gnl|ECaadb|2666	gnl|RZaadb|1061
gnl|ECaadb|2671	gnl|RZaadb|3378
gnl|ECaadb|2672	gnl|RZaadb|255
gnl|ECaadb|2675	gnl|RZaadb|4282
gnl|ECaadb|2678	gnl|RZaadb|3353
gnl|ECaadb|2684	gnl|RZaadb|3349
gnl|ECaadb|2685	gnl|RZaadb|3021
gnl|ECaadb|2695	gnl|RZaadb|4253
gnl|ECaadb|2697	gnl|RZaadb|3119
gnl|ECaadb|2705	gnl|RZaadb|3807
gnl|ECaadb|270	gnl|RZaadb|4626
gnl|ECaadb|2715	gnl|RZaadb|2076
gnl|ECaadb|2716	gnl|RZaadb|176
gnl|ECaadb|2717	gnl|RZaadb|410
gnl|ECaadb|2718	gnl|RZaadb|5029
gnl|ECaadb|2720	gnl|RZaadb|1780
gnl|ECaadb|2724	gnl|RZaadb|5683
gnl|ECaadb|2728	gnl|RZaadb|1203
gnl|ECaadb|2745	gnl|RZaadb|3911
gnl|ECaadb|2757	gnl|RZaadb|2436
gnl|ECaadb|2759	gnl|RZaadb|2862
gnl|ECaadb|2763	gnl|RZaadb|819
gnl|ECaadb|2765	gnl|RZaadb|2617
gnl|ECaadb|2766	gnl|RZaadb|3120
gnl|ECaadb|276	gnl|RZaadb|2961
gnl|ECaadb|2770	gnl|RZaadb|4394
gnl|ECaadb|2775	gnl|RZaadb|2113
gnl|ECaadb|277	gnl|RZaadb|5957
gnl|ECaadb|278	gnl|RZaadb|1164
gnl|ECaadb|27	gnl|RZaadb|3036
gnl|ECaadb|2804	gnl|RZaadb|5394
gnl|ECaadb|2806	gnl|RZaadb|1331
gnl|ECaadb|2811	gnl|RZaadb|5013
gnl|ECaadb|2813	gnl|RZaadb|869
gnl|ECaadb|2819	gnl|RZaadb|2058
gnl|ECaadb|2822	gnl|RZaadb|3277
gnl|ECaadb|2838	gnl|RZaadb|1055
gnl|ECaadb|2845	gnl|RZaadb|1520
gnl|ECaadb|2848	gnl|RZaadb|5118
gnl|ECaadb|2852	gnl|RZaadb|1482
gnl|ECaadb|2856	gnl|RZaadb|3498
gnl|ECaadb|2857	gnl|RZaadb|5564
gnl|ECaadb|2858	gnl|RZaadb|3496
gnl|ECaadb|2861	gnl|RZaadb|271
gnl|ECaadb|2866	gnl|RZaadb|1477
gnl|ECaadb|2867	gnl|RZaadb|5339
gnl|ECaadb|2868	gnl|RZaadb|1478
gnl|ECaadb|2869	gnl|RZaadb|1124
gnl|ECaadb|2871	gnl|RZaadb|244
gnl|ECaadb|2873	gnl|RZaadb|4303
gnl|ECaadb|2875	gnl|RZaadb|440
gnl|ECaadb|2876	gnl|RZaadb|4306
gnl|ECaadb|2877	gnl|RZaadb|5504
gnl|ECaadb|2879	gnl|RZaadb|3242
gnl|ECaadb|2885	gnl|RZaadb|1311
gnl|ECaadb|2887	gnl|RZaadb|5080
gnl|ECaadb|2891	gnl|RZaadb|35
gnl|ECaadb|2892	gnl|RZaadb|969
gnl|ECaadb|2894	gnl|RZaadb|34
gnl|ECaadb|289	gnl|RZaadb|351
gnl|ECaadb|28	gnl|RZaadb|2087
gnl|ECaadb|2901	gnl|RZaadb|5085
gnl|ECaadb|2902	gnl|RZaadb|515
gnl|ECaadb|2914	gnl|RZaadb|3631
gnl|ECaadb|2918	gnl|RZaadb|755
gnl|ECaadb|2919	gnl|RZaadb|669
gnl|ECaadb|2920	gnl|RZaadb|4404
gnl|ECaadb|2931	gnl|RZaadb|2918
gnl|ECaadb|2932	gnl|RZaadb|3043
gnl|ECaadb|2934	gnl|RZaadb|1096
gnl|ECaadb|2941	gnl|RZaadb|159
gnl|ECaadb|2945	gnl|RZaadb|1273
gnl|ECaadb|2953	gnl|RZaadb|1266
gnl|ECaadb|2954	gnl|RZaadb|1779
gnl|ECaadb|2960	gnl|RZaadb|5538
gnl|ECaadb|2961	gnl|RZaadb|3324
gnl|ECaadb|2964	gnl|RZaadb|3247
gnl|ECaadb|2965	gnl|RZaadb|5254
gnl|ECaadb|2967	gnl|RZaadb|745
gnl|ECaadb|2968	gnl|RZaadb|25
gnl|ECaadb|2969	gnl|RZaadb|445
gnl|ECaadb|2970	gnl|RZaadb|24
gnl|ECaadb|2971	gnl|RZaadb|39
gnl|ECaadb|2973	gnl|RZaadb|2604
gnl|ECaadb|2977	gnl|RZaadb|41
gnl|ECaadb|2978	gnl|RZaadb|50
gnl|ECaadb|2979	gnl|RZaadb|22
gnl|ECaadb|2980	gnl|RZaadb|42
gnl|ECaadb|2981	gnl|RZaadb|2606
gnl|ECaadb|2982	gnl|RZaadb|361
gnl|ECaadb|2983	gnl|RZaadb|43
gnl|ECaadb|2984	gnl|RZaadb|360
gnl|ECaadb|2986	gnl|RZaadb|44
gnl|ECaadb|2987	gnl|RZaadb|45
gnl|ECaadb|2988	gnl|RZaadb|358
gnl|ECaadb|2989	gnl|RZaadb|46
gnl|ECaadb|298	gnl|RZaadb|4283
gnl|ECaadb|2990	gnl|RZaadb|733
gnl|ECaadb|2991	gnl|RZaadb|21
gnl|ECaadb|2992	gnl|RZaadb|357
gnl|ECaadb|2993	gnl|RZaadb|2607
gnl|ECaadb|2994	gnl|RZaadb|20
gnl|ECaadb|29	gnl|RZaadb|3463
gnl|ECaadb|3009	gnl|RZaadb|5300
gnl|ECaadb|300	gnl|RZaadb|3799
gnl|ECaadb|3013	gnl|RZaadb|5847
gnl|ECaadb|3014	gnl|RZaadb|122
gnl|ECaadb|3015	gnl|RZaadb|19
gnl|ECaadb|3023	gnl|RZaadb|3102
gnl|ECaadb|3025	gnl|RZaadb|5453
gnl|ECaadb|302	gnl|RZaadb|954
gnl|ECaadb|3032	gnl|RZaadb|1079
gnl|ECaadb|3038	gnl|RZaadb|1245
gnl|ECaadb|3040	gnl|RZaadb|5318
gnl|ECaadb|3053	gnl|RZaadb|603
gnl|ECaadb|3055	gnl|RZaadb|1967
gnl|ECaadb|3058	gnl|RZaadb|4458
gnl|ECaadb|3064	gnl|RZaadb|2612
gnl|ECaadb|3069	gnl|RZaadb|1081
gnl|ECaadb|3071	gnl|RZaadb|4254
gnl|ECaadb|3073	gnl|RZaadb|815
gnl|ECaadb|3074	gnl|RZaadb|3075
gnl|ECaadb|3085	gnl|RZaadb|4704
gnl|ECaadb|3087	gnl|RZaadb|3896
gnl|ECaadb|3088	gnl|RZaadb|5098
gnl|ECaadb|3089	gnl|RZaadb|5100
gnl|ECaadb|3090	gnl|RZaadb|69
gnl|ECaadb|3091	gnl|RZaadb|4590
gnl|ECaadb|3092	gnl|RZaadb|3997
gnl|ECaadb|3098	gnl|RZaadb|2292
gnl|ECaadb|30	gnl|RZaadb|1401
gnl|ECaadb|3103	gnl|RZaadb|5065
gnl|ECaadb|3105	gnl|RZaadb|4760
gnl|ECaadb|3106	gnl|RZaadb|4761
gnl|ECaadb|3107	gnl|RZaadb|4762
gnl|ECaadb|3108	gnl|RZaadb|4763
gnl|ECaadb|3109	gnl|RZaadb|4764
gnl|ECaadb|3110	gnl|RZaadb|5835
gnl|ECaadb|3111	gnl|RZaadb|395
