RPHASCH2410_RS30325	amidohydrolase	WP_016736951.1
RPHASCH2410_RS25920	cytochrome bd oxidase subunit I	WP_016735523.1
RPHASCH2410_RS25930	thiol reductant ABC exporter subunit CydD	WP_016735525.1
RPHASCH2410_RS26070	peptide-methionine (S)-S-oxide reductase	WP_012489766.1
RPHASCH2410_RS26085	cytosine deaminase	WP_016735549.1
RPHASCH2410_RS26130	phosphatidate cytidylyltransferase	WP_016735555.1
RPHASCH2410_RS26140	J domain-containing protein	WP_012489779.1
RPHASCH2410_RS26155	glutathione-dependent disulfide-bond	WP_016735557.1
RPHASCH2410_RS26235	phosphomethylpyrimidine synthase ThiC	WP_016735570.1
RPHASCH2410_RS26250	thiazole synthase	WP_016735572.1
RPHASCH2410_RS26255	thiamine phosphate synthase	WP_016735573.1
RPHASCH2410_RS26275	PhzF family phenazine biosynthesis protein	WP_016735577.1
RPHASCH2410_RS26575	DegT/DnrJ/EryC1/StrS family aminotransferase	WP_012489815.1
RPHASCH2410_RS26615	glycosyltransferase	WP_029531759.1
RPHASCH2410_RS26775	glutathione-dependent formaldehyde	WP_016735667.1
RPHASCH2410_RS26800	protein-L-isoaspartate(D-aspartate)	WP_016735671.1
RPHASCH2410_RS26815	thiamine pyrophosphate-requiring protein	WP_016735674.1
RPHASCH2410_RS26875	glycerol kinase	WP_016735686.1
RPHASCH2410_RS26910	glycerol-3-phosphate dehydrogenase	WP_016735691.1
RPHASCH2410_RS26915	DeoR/GlpR transcriptional regulator	WP_016735692.1
RPHASCH2410_RS26975	mannonate dehydratase	WP_016735702.1
RPHASCH2410_RS27010	glutathionylspermidine synthase family protein	WP_016735710.1
RPHASCH2410_RS27015	DUF1190 domain-containing protein	WP_016735711.1
RPHASCH2410_RS27020	DUF350 domain-containing protein	WP_004673652.1
RPHASCH2410_RS27035	DUF2170 domain-containing protein	WP_016735714.1
RPHASCH2410_RS27040	transcriptional regulator	WP_016735715.1
RPHASCH2410_RS27535	4-alpha-glucanotransferase	WP_016735805.1
RPHASCH2410_RS27575	iron ABC transporter permease	WP_016735812.1
RPHASCH2410_RS27590	aspartate/tyrosine/aromatic aminotransferase	WP_016735815.1
RPHASCH2410_RS27600	1,4-alpha-glucan branching protein GlgB	WP_016735817.1
RPHASCH2410_RS27645	methyl-accepting chemotaxis protein	WP_016735826.1
RPHASCH2410_RS27675	TetR/AcrR family transcriptional regulator	WP_029531790.1
RPHASCH2410_RS27805	DNA-binding response regulator	WP_016735855.1
RPHASCH2410_RS27900	FAD-binding oxidoreductase	WP_016735871.1
RPHASCH2410_RS27910	LysR family transcriptional regulator	WP_016735873.1
RPHASCH2410_RS27935	acetylornithine deacetylase	WP_016735878.1
RPHASCH2410_RS27940	glyoxylate/hydroxypyruvate reductase A	WP_016735879.1
RPHASCH2410_RS27955	tartrate dehydrogenase	WP_016735883.1
RPHASCH2410_RS27975	aldolase	WP_016735887.1
RPHASCH2410_RS27985	MFS transporter	WP_016735889.1
RPHASCH2410_RS27990	NAD(P)-dependent oxidoreductase	WP_016735890.1
RPHASCH2410_RS27995	hydroxypyruvate isomerase	WP_016735891.1
RPHASCH2410_RS28000	four-carbon acid sugar kinase family protein	WP_016735892.1
RPHASCH2410_RS28055	trifunctional transcriptional regulator/proline	WP_016735901.1
RPHASCH2410_RS28065	ArsR family transcriptional regulator	WP_016735903.1
RPHASCH2410_RS28085	hybrid-cluster NAD(P)-dependent oxidoreductase	WP_016735907.1
RPHASCH2410_RS28105	aldehyde dehydrogenase	WP_016735912.1
RPHASCH2410_RS28125	S-formylglutathione hydrolase	WP_012490071.1
RPHASCH2410_RS28175	ABC transporter permease	WP_012490081.1
RPHASCH2410_RS28180	glycine betaine/L-proline ABC transporter	WP_016735922.1
RPHASCH2410_RS28205	oxidoreductase	WP_016735926.1
RPHASCH2410_RS28210	GGDEF domain-containing protein	WP_016735927.1
RPHASCH2410_RS28230	molecular chaperone HtpG	WP_016735930.1
RPHASCH2410_RS28265	DUF488 domain-containing protein	WP_016735936.1
RPHASCH2410_RS28340	cupin domain-containing protein	WP_029531806.1
RPHASCH2410_RS28355	D-amino acid dehydrogenase small subunit	WP_016735955.1
RPHASCH2410_RS28360	alanine racemase	WP_016735956.1
RPHASCH2410_RS28440	Fe(3+)-hydroxamate ABC transporter permease	WP_016735972.1
RPHASCH2410_RS28460	TonB-dependent siderophore receptor	WP_016735977.1
RPHASCH2410_RS28490	beta-glucosidase	WP_016735983.1
RPHASCH2410_RS28700	biotin transporter BioY	WP_016736018.1
RPHASCH2410_RS28850	mannose-1-phosphate	WP_016736046.1
RPHASCH2410_RS29035	DNA polymerase IV	WP_016736079.1
RPHASCH2410_RS29420	ABC transporter	WP_016736150.1
RPHASCH2410_RS29630	LysR family transcriptional regulator	WP_016735246.1
RPHASCH2410_RS30095	transcriptional regulator NanR	WP_016735333.1
RPHASCH2410_RS30115	ribose 5-phosphate isomerase B	WP_004678734.1
RPHASCH2410_RS30155	dihydroxyacetone kinase subunit DhaK	WP_029531711.1
RPHASCH2410_RS30160	dihydroxyacetone kinase subunit L	WP_029531712.1
RPHASCH2410_RS30235	cytochrome-c peroxidase	WP_016735355.1
RPHASCH2410_RS30245	pantoate--beta-alanine ligase	WP_016735358.1
RPHASCH2410_RS30250	3-methyl-2-oxobutanoate	WP_016735359.1
RPHASCH2410_RS30255	hydrogen peroxide-inducible genes activator	WP_016735360.1
RPHASCH2410_RS30260	catalase/peroxidase HPI	WP_029531715.1
RPHASCH2410_RS00005	cellulose synthase catalytic subunit	WP_039750947.1
RPHASCH2410_RS00015	endoglucanase	WP_016734162.1
RPHASCH2410_RS00025	glycerol-3-phosphatase	WP_016734160.1
RPHASCH2410_RS00165	DUF1376 domain-containing protein	WP_016734127.1
RPHASCH2410_RS00460	undecaprenyl-phosphate glucose	WP_016734072.1
RPHASCH2410_RS00500	N-acetyl-gamma-glutamyl-phosphate reductase	WP_010024870.1
RPHASCH2410_RS00505	agmatinase	WP_029531517.1
RPHASCH2410_RS00510	30S ribosomal protein S9	WP_009998001.1
RPHASCH2410_RS00515	50S ribosomal protein L13	WP_008521951.1
RPHASCH2410_RS00545	CoA-binding protein	WP_016734063.1
RPHASCH2410_RS00610	ATP-dependent Clp protease proteolytic subunit	WP_003573944.1
RPHASCH2410_RS00615	ATP-dependent Clp protease ATP-binding subunit	WP_004680013.1
RPHASCH2410_RS00620	endopeptidase La	WP_012483419.1
RPHASCH2410_RS00625	DNA-binding protein HRL53	WP_003547346.1
RPHASCH2410_RS00660	glutathione peroxidase	WP_029531513.1
RPHASCH2410_RS00680	NADH-quinone oxidoreductase subunit A	WP_008521906.1
RPHASCH2410_RS00745	NADH-quinone oxidoreductase subunit L	WP_016734042.1
RPHASCH2410_RS00750	NADH-quinone oxidoreductase subunit M	WP_016734041.1
RPHASCH2410_RS00760	biotin--[acetyl-CoA-carboxylase] ligase	WP_016734039.1
RPHASCH2410_RS00780	proline--tRNA ligase	WP_016734036.1
RPHASCH2410_RS00785	lipoprotein-releasing system transmembrane	WP_029531511.1
RPHASCH2410_RS00790	lipoprotein-releasing ABC transporter	WP_004668408.1
RPHASCH2410_RS00800	DNA polymerase III subunit alpha	WP_016734034.1
RPHASCH2410_RS00835	PleD family two-component system response	WP_004668451.1
RPHASCH2410_RS00840	50S ribosomal protein L33	WP_003587245.1
RPHASCH2410_RS00855	ribonuclease R	WP_016734025.1
RPHASCH2410_RS00860	type I DNA topoisomerase	WP_016734024.1
RPHASCH2410_RS00865	DNA-protecting protein DprA	WP_016734023.1
RPHASCH2410_RS00870	glycerol-3-phosphate 1-O-acyltransferase PlsY	WP_016734022.1
RPHASCH2410_RS00880	aspartate carbamoyltransferase	WP_016734020.1
RPHASCH2410_RS00885	acyl-CoA dehydrogenase	WP_016734019.1
RPHASCH2410_RS00890	ribonuclease E/G	WP_016734018.1
RPHASCH2410_RS00895	N-acetylmuramoyl-L-alanine amidase	WP_029531506.1
RPHASCH2410_RS00900	penicillin-binding protein 1A	WP_016734016.1
RPHASCH2410_RS00905	peptide chain release factor 2	WP_012483469.1
RPHASCH2410_RS00920	NAD kinase	WP_004674871.1
RPHASCH2410_RS00945	23S rRNA	WP_016734011.1
RPHASCH2410_RS00960	elongation factor Tu	WP_004669088.1
RPHASCH2410_RS00980	transcription termination/antitermination	WP_004669067.1
RPHASCH2410_RS00985	50S ribosomal protein L11	WP_004669070.1
RPHASCH2410_RS00990	50S ribosomal protein L1	WP_004669072.1
RPHASCH2410_RS00995	50S ribosomal protein L10	WP_037113092.1
RPHASCH2410_RS01000	50S ribosomal protein L7/L12	WP_004669074.1
RPHASCH2410_RS01005	DNA-directed RNA polymerase subunit beta	WP_004669077.1
RPHASCH2410_RS01010	DNA-directed RNA polymerase subunit beta	WP_046977045.1
RPHASCH2410_RS01020	30S ribosomal protein S12	WP_003547537.1
RPHASCH2410_RS01025	30S ribosomal protein S7	WP_004669085.1
RPHASCH2410_RS01030	elongation factor G	WP_038688280.1
RPHASCH2410_RS01035	elongation factor Tu	WP_004669088.1
RPHASCH2410_RS01040	30S ribosomal protein S10	WP_003547547.1
RPHASCH2410_RS01045	50S ribosomal protein L3	WP_016734008.1
RPHASCH2410_RS01050	50S ribosomal protein L4	WP_004674918.1
RPHASCH2410_RS01055	50S ribosomal protein L23	WP_003547550.1
RPHASCH2410_RS01060	50S ribosomal protein L2	WP_009986456.1
RPHASCH2410_RS01065	30S ribosomal protein S19	WP_003573797.1
RPHASCH2410_RS01070	50S ribosomal protein L22	WP_004674922.1
RPHASCH2410_RS01075	30S ribosomal protein S3	WP_003573793.1
RPHASCH2410_RS01080	50S ribosomal protein L16	WP_003573792.1
RPHASCH2410_RS01090	30S ribosomal protein S17	WP_004674926.1
RPHASCH2410_RS01095	50S ribosomal protein L14	WP_003573790.1
RPHASCH2410_RS01100	50S ribosomal protein L24	WP_004674929.1
RPHASCH2410_RS01105	50S ribosomal protein L5	WP_016734007.1
RPHASCH2410_RS01110	30S ribosomal protein S14	WP_003573787.1
RPHASCH2410_RS01115	30S ribosomal protein S8	WP_003547562.1
RPHASCH2410_RS01120	50S ribosomal protein L6	WP_003578670.1
RPHASCH2410_RS01125	50S ribosomal protein L18	WP_003573785.1
RPHASCH2410_RS01130	30S ribosomal protein S5	WP_003573784.1
RPHASCH2410_RS01145	preprotein translocase subunit SecY	WP_016734005.1
RPHASCH2410_RS01150	adenylate kinase	WP_016734004.1
RPHASCH2410_RS01155	30S ribosomal protein S13	WP_003573772.1
RPHASCH2410_RS01160	30S ribosomal protein S11	WP_003547577.1
RPHASCH2410_RS01165	DNA-directed RNA polymerase subunit alpha	WP_003547579.1
RPHASCH2410_RS01170	50S ribosomal protein L17	WP_009995243.1
RPHASCH2410_RS01185	protein-methionine-sulfoxide reductase	WP_016734001.1
RPHASCH2410_RS01190	protein-methionine-sulfoxide reductase catalytic	WP_029531504.1
RPHASCH2410_RS01195	dihydroxy-acid dehydratase	WP_016733999.1
RPHASCH2410_RS01215	replication-associated recombination protein A	WP_016733995.1
RPHASCH2410_RS01270	acyl CoA:acetate/3-ketoacid CoA transferase	WP_016733983.1
RPHASCH2410_RS01355	DNA-binding response regulator	WP_012483518.1
RPHASCH2410_RS01460	3-oxoacyl-ACP reductase FabG	WP_016732823.1
RPHASCH2410_RS01470	hydrolase	WP_016732825.1
RPHASCH2410_RS01495	xanthine phosphoribosyltransferase	WP_010025058.1
RPHASCH2410_RS01505	competence/damage-inducible protein A	WP_016732831.1
RPHASCH2410_RS01520	threonine ammonia-lyase	WP_029531119.1
RPHASCH2410_RS01550	FMN-dependent NADH-azoreductase	WP_012483553.1
RPHASCH2410_RS01555	LysR family transcriptional regulator	WP_012483554.1
RPHASCH2410_RS01560	bifunctional 2,3-cyclic-nucleotide	WP_012483555.1
RPHASCH2410_RS01595	3-mercaptopyruvate sulfurtransferase	WP_016732841.1
RPHASCH2410_RS01620	class I SAM-dependent methyltransferase	WP_016732845.1
RPHASCH2410_RS01635	deoxyribodipyrimidine photo-lyase	WP_016732846.1
RPHASCH2410_RS01660	nitrite reductase large subunit	WP_012483572.1
RPHASCH2410_RS01680	peroxiredoxin	WP_012483577.1
RPHASCH2410_RS01735	CsbD family protein	WP_012483584.1
RPHASCH2410_RS01835	valine--tRNA ligase	WP_016732883.1
RPHASCH2410_RS01855	exodeoxyribonuclease III	WP_012483593.1
RPHASCH2410_RS01860	iron-sulfur cluster assembly accessory protein	WP_004674150.1
RPHASCH2410_RS01880	beta-N-acetylhexosaminidase	WP_029531140.1
RPHASCH2410_RS01905	twin-arginine translocase subunit TatC	WP_016732894.1
RPHASCH2410_RS01910	serine--tRNA ligase	WP_016732895.1
RPHASCH2410_RS01915	5-nucleotidase SurE	WP_016732896.1
RPHASCH2410_RS01925	LysM peptidoglycan-binding domain-containing	WP_016732897.1
RPHASCH2410_RS01980	trigger factor	WP_004678834.1
RPHASCH2410_RS01985	IS3 family transposase	WP_010009678.1
RPHASCH2410_RS02010	Si-specific NAD(P)(+) transhydrogenase	WP_012483618.1
RPHASCH2410_RS02020	JAB domain-containing protein	WP_016732906.1
RPHASCH2410_RS02025	type I methionyl aminopeptidase	WP_004673840.1
RPHASCH2410_RS02045	Holliday junction resolvase RuvX	WP_012483623.1
RPHASCH2410_RS02070	hypothetical protein	WP_004671262.1
RPHASCH2410_RS02095	GNAT family N-acetyltransferase	WP_016732912.1
RPHASCH2410_RS02115	leucyl/phenylalanyl-tRNA--protein transferase	WP_012483634.1
RPHASCH2410_RS02120	acetyl-CoA carboxylase biotin carboxylase	WP_004671248.1
RPHASCH2410_RS02125	acetyl-CoA carboxylase biotin carboxyl carrier	WP_016732916.1
RPHASCH2410_RS02175	single-stranded-DNA-specific exonuclease RecJ	WP_016732925.1
RPHASCH2410_RS02200	lactoylglutathione lyase	WP_004675947.1
RPHASCH2410_RS02280	amino acid ABC transporter ATP-binding protein	WP_016732937.1
RPHASCH2410_RS02285	amino acid ABC transporter permease	WP_012483655.1
RPHASCH2410_RS02290	amino acid ABC transporter permease	WP_029531157.1
RPHASCH2410_RS02300	cystathionine beta-lyase	WP_016732938.1
RPHASCH2410_RS02320	serine O-acetyltransferase	WP_004675925.1
RPHASCH2410_RS02335	ATP-dependent Clp protease adapter ClpS	WP_012483661.1
RPHASCH2410_RS02340	ATP-dependent Clp protease ATP-binding subunit	WP_016732941.1
RPHASCH2410_RS02345	HIT family protein	WP_016732942.1
RPHASCH2410_RS02390	30S ribosomal protein S2	WP_008526906.1
RPHASCH2410_RS02395	elongation factor Ts	WP_009994369.1
RPHASCH2410_RS02400	UMP kinase	WP_004678616.1
RPHASCH2410_RS02405	ribosome-recycling factor	WP_004678618.1
RPHASCH2410_RS02410	isoprenyl transferase	WP_016732948.1
RPHASCH2410_RS02415	CDP-archaeol synthase	WP_016732949.1
RPHASCH2410_RS02420	RIP metalloprotease RseP	WP_016732950.1
RPHASCH2410_RS02430	UDP-3-O-(3-hydroxymyristoyl)glucosamine	WP_016732952.1
RPHASCH2410_RS02435	beta-hydroxyacyl-ACP dehydratase	WP_004678630.1
RPHASCH2410_RS02440	acyl-ACP--UDP-N-acetylglucosamine	WP_016732953.1
RPHASCH2410_RS02450	lipid-A-disaccharide synthase	WP_016732955.1
RPHASCH2410_RS02455	citrate (Si)-synthase	WP_004678636.1
RPHASCH2410_RS02475	3-deoxy-8-phosphooctulonate synthase	WP_016732959.1
RPHASCH2410_RS02480	enolase	WP_004678645.1
RPHASCH2410_RS02535	lipoyl synthase	WP_016732965.1
RPHASCH2410_RS02545	ubiquinone-binding protein	WP_016732967.1
RPHASCH2410_RS02550	CinA family protein	WP_012483692.1
RPHASCH2410_RS02555	bifunctional 2-C-methyl-D-erythritol 4-phosphate	WP_016732968.1
RPHASCH2410_RS02560	tRNA dihydrouridine synthase DusB	WP_012483694.1
RPHASCH2410_RS02565	two-component sensor histidine kinase	WP_016732969.1
RPHASCH2410_RS02570	nitrogen regulation protein NR(I)	WP_012483696.1
RPHASCH2410_RS02610	D-serine ammonia-lyase	WP_046977057.1
RPHASCH2410_RS02645	bifunctional methylenetetrahydrofolate	WP_046977059.1
RPHASCH2410_RS02670	RNA-binding protein Hfq	WP_003539403.1
RPHASCH2410_RS02675	GTPase HflX	WP_012483715.1
RPHASCH2410_RS02680	nucleoside triphosphate pyrophosphohydrolase	WP_046977061.1
RPHASCH2410_RS02690	uroporphyrinogen-III C-methyltransferase	WP_029531170.1
RPHASCH2410_RS02880	NAD(P)H-dependent oxidoreductase	WP_016733010.1
RPHASCH2410_RS02935	efflux RND transporter periplasmic adaptor	WP_016733019.1
RPHASCH2410_RS02955	ferredoxin--NADP reductase	WP_004673785.1
RPHASCH2410_RS02965	quinone oxidoreductase	WP_016733023.1
RPHASCH2410_RS02990	sugar ABC transporter substrate-binding protein	WP_004673778.1
RPHASCH2410_RS02995	sugar ABC transporter ATP-binding protein	WP_020465354.1
RPHASCH2410_RS03000	ABC transporter permease	WP_016733027.1
RPHASCH2410_RS03005	sugar ABC transporter permease YjfF	WP_004680234.1
RPHASCH2410_RS03010	FadR family transcriptional regulator	WP_029531186.1
RPHASCH2410_RS03015	bifunctional UDP-N-acetylglucosamine	WP_016733029.1
RPHASCH2410_RS03020	glutamine--fructose-6-phosphate transaminase	WP_016733030.1
