gnl|RZaadb|1006|WP_011428143.1	WP_011428143.1	gnl|RZaadb|1006
gnl|RZaadb|108|WP_004668803.1	WP_004668803.1	gnl|RZaadb|108
gnl|RZaadb|1096|WP_012482617.1	WP_012482617.1	gnl|RZaadb|1096
gnl|RZaadb|1100|WP_012482632.1	WP_012482632.1	gnl|RZaadb|1100
gnl|RZaadb|1101|WP_012482641.1	WP_012482641.1	gnl|RZaadb|1101
gnl|RZaadb|1104|WP_012482666.1	WP_012482666.1	gnl|RZaadb|1104
gnl|RZaadb|1107|WP_012482673.1	WP_012482673.1	gnl|RZaadb|1107
gnl|RZaadb|1108|WP_012482675.1	WP_012482675.1	gnl|RZaadb|1108
gnl|RZaadb|1110|WP_012482680.1	WP_012482680.1	gnl|RZaadb|1110
gnl|RZaadb|1113|WP_012482683.1	WP_012482683.1	gnl|RZaadb|1113
gnl|RZaadb|1118|WP_012482723.1	WP_012482723.1	gnl|RZaadb|1118
gnl|RZaadb|1119|WP_012482725.1	WP_012482725.1	gnl|RZaadb|1119
gnl|RZaadb|1123|WP_012482735.1	WP_012482735.1	gnl|RZaadb|1123
gnl|RZaadb|1124|WP_012482788.1	WP_012482788.1	gnl|RZaadb|1124
gnl|RZaadb|1125|WP_012482790.1	WP_012482790.1	gnl|RZaadb|1125
gnl|RZaadb|1126|WP_012482792.1	WP_012482792.1	gnl|RZaadb|1126
gnl|RZaadb|1129|WP_012482798.1	WP_012482798.1	gnl|RZaadb|1129
gnl|RZaadb|112|WP_004668823.1	WP_004668823.1	gnl|RZaadb|112
gnl|RZaadb|1130|WP_012482812.1	WP_012482812.1	gnl|RZaadb|1130
gnl|RZaadb|1137|WP_012482838.1	WP_012482838.1	gnl|RZaadb|1137
gnl|RZaadb|1139|WP_012482840.1	WP_012482840.1	gnl|RZaadb|1139
gnl|RZaadb|1142|WP_012482854.1	WP_012482854.1	gnl|RZaadb|1142
gnl|RZaadb|1146|WP_012482876.1	WP_012482876.1	gnl|RZaadb|1146
gnl|RZaadb|114|WP_004668891.1	WP_004668891.1	gnl|RZaadb|114
gnl|RZaadb|1151|WP_012482924.1	WP_012482924.1	gnl|RZaadb|1151
gnl|RZaadb|1156|WP_012482959.1	WP_012482959.1	gnl|RZaadb|1156
gnl|RZaadb|1164|WP_012483077.1	WP_012483077.1	gnl|RZaadb|1164
gnl|RZaadb|1168|WP_012483117.1	WP_012483117.1	gnl|RZaadb|1168
gnl|RZaadb|1173|WP_012483158.1	WP_012483158.1	gnl|RZaadb|1173
gnl|RZaadb|1178|WP_012483203.1	WP_012483203.1	gnl|RZaadb|1178
gnl|RZaadb|117|WP_004669067.1	WP_004669067.1	gnl|RZaadb|117
gnl|RZaadb|1185|WP_012483227.1	WP_012483227.1	gnl|RZaadb|1185
gnl|RZaadb|1187|WP_012483239.1	WP_012483239.1	gnl|RZaadb|1187
gnl|RZaadb|118|WP_004669070.1	WP_004669070.1	gnl|RZaadb|118
gnl|RZaadb|1190|WP_012483259.1	WP_012483259.1	gnl|RZaadb|1190
gnl|RZaadb|1192|WP_012483261.1	WP_012483261.1	gnl|RZaadb|1192
gnl|RZaadb|1194|WP_012483271.1	WP_012483271.1	gnl|RZaadb|1194
gnl|RZaadb|1195|WP_012483297.1	WP_012483297.1	gnl|RZaadb|1195
gnl|RZaadb|1196|WP_012483300.1	WP_012483300.1	gnl|RZaadb|1196
gnl|RZaadb|1197|WP_012483306.1	WP_012483306.1	gnl|RZaadb|1197
gnl|RZaadb|119|WP_004669072.1	WP_004669072.1	gnl|RZaadb|119
gnl|RZaadb|1201|WP_012483336.1	WP_012483336.1	gnl|RZaadb|1201
gnl|RZaadb|1203|WP_012483348.1	WP_012483348.1	gnl|RZaadb|1203
gnl|RZaadb|1204|WP_012483354.1	WP_012483354.1	gnl|RZaadb|1204
gnl|RZaadb|1205|WP_012483356.1	WP_012483356.1	gnl|RZaadb|1205
gnl|RZaadb|1206|WP_012483360.1	WP_012483360.1	gnl|RZaadb|1206
gnl|RZaadb|120|WP_004669074.1	WP_004669074.1	gnl|RZaadb|120
gnl|RZaadb|1215|WP_012483419.1	WP_012483419.1	gnl|RZaadb|1215
gnl|RZaadb|121|WP_004669077.1	WP_004669077.1	gnl|RZaadb|121
gnl|RZaadb|1224|WP_012483469.1	WP_012483469.1	gnl|RZaadb|1224
gnl|RZaadb|122|WP_004669085.1	WP_004669085.1	gnl|RZaadb|122
gnl|RZaadb|1230|WP_012483518.1	WP_012483518.1	gnl|RZaadb|1230
gnl|RZaadb|1238|WP_012483553.1	WP_012483553.1	gnl|RZaadb|1238
gnl|RZaadb|1239|WP_012483554.1	WP_012483554.1	gnl|RZaadb|1239
gnl|RZaadb|123|WP_004669088.1	WP_004669088.1	gnl|RZaadb|123
gnl|RZaadb|1240|WP_012483555.1	WP_012483555.1	gnl|RZaadb|1240
gnl|RZaadb|1245|WP_012483572.1	WP_012483572.1	gnl|RZaadb|1245
gnl|RZaadb|1247|WP_012483577.1	WP_012483577.1	gnl|RZaadb|1247
gnl|RZaadb|1250|WP_012483584.1	WP_012483584.1	gnl|RZaadb|1250
gnl|RZaadb|1252|WP_012483593.1	WP_012483593.1	gnl|RZaadb|1252
gnl|RZaadb|1255|WP_012483618.1	WP_012483618.1	gnl|RZaadb|1255
gnl|RZaadb|1259|WP_012483623.1	WP_012483623.1	gnl|RZaadb|1259
gnl|RZaadb|1263|WP_012483634.1	WP_012483634.1	gnl|RZaadb|1263
gnl|RZaadb|1266|WP_012483655.1	WP_012483655.1	gnl|RZaadb|1266
gnl|RZaadb|1267|WP_012483661.1	WP_012483661.1	gnl|RZaadb|1267
gnl|RZaadb|1272|WP_012483692.1	WP_012483692.1	gnl|RZaadb|1272
gnl|RZaadb|1273|WP_012483694.1	WP_012483694.1	gnl|RZaadb|1273
gnl|RZaadb|1274|WP_012483696.1	WP_012483696.1	gnl|RZaadb|1274
gnl|RZaadb|1282|WP_012483715.1	WP_012483715.1	gnl|RZaadb|1282
gnl|RZaadb|1298|WP_012483948.1	WP_012483948.1	gnl|RZaadb|1298
gnl|RZaadb|12|WP_003544934.1	WP_003544934.1	gnl|RZaadb|12
gnl|RZaadb|1301|WP_012483959.1	WP_012483959.1	gnl|RZaadb|1301
gnl|RZaadb|1303|WP_012483990.1	WP_012483990.1	gnl|RZaadb|1303
gnl|RZaadb|1306|WP_012483993.1	WP_012483993.1	gnl|RZaadb|1306
gnl|RZaadb|1308|WP_012483995.1	WP_012483995.1	gnl|RZaadb|1308
gnl|RZaadb|1309|WP_012484014.1	WP_012484014.1	gnl|RZaadb|1309
gnl|RZaadb|1310|WP_012484022.1	WP_012484022.1	gnl|RZaadb|1310
gnl|RZaadb|1311|WP_012484025.1	WP_012484025.1	gnl|RZaadb|1311
gnl|RZaadb|1312|WP_012484027.1	WP_012484027.1	gnl|RZaadb|1312
gnl|RZaadb|1316|WP_012484080.1	WP_012484080.1	gnl|RZaadb|1316
gnl|RZaadb|1331|WP_012484216.1	WP_012484216.1	gnl|RZaadb|1331
gnl|RZaadb|1338|WP_012484248.1	WP_012484248.1	gnl|RZaadb|1338
gnl|RZaadb|133|WP_004669530.1	WP_004669530.1	gnl|RZaadb|133
gnl|RZaadb|1346|WP_012484292.1	WP_012484292.1	gnl|RZaadb|1346
gnl|RZaadb|134|WP_004669533.1	WP_004669533.1	gnl|RZaadb|134
gnl|RZaadb|1357|WP_012484378.1	WP_012484378.1	gnl|RZaadb|1357
gnl|RZaadb|1364|WP_012484416.1	WP_012484416.1	gnl|RZaadb|1364
gnl|RZaadb|1371|WP_012484449.1	WP_012484449.1	gnl|RZaadb|1371
gnl|RZaadb|1380|WP_012484498.1	WP_012484498.1	gnl|RZaadb|1380
gnl|RZaadb|1381|WP_012484499.1	WP_012484499.1	gnl|RZaadb|1381
gnl|RZaadb|1382|WP_012484500.1	WP_012484500.1	gnl|RZaadb|1382
gnl|RZaadb|1385|WP_012484505.1	WP_012484505.1	gnl|RZaadb|1385
gnl|RZaadb|1388|WP_012484514.1	WP_012484514.1	gnl|RZaadb|1388
gnl|RZaadb|13|WP_003545338.1	WP_003545338.1	gnl|RZaadb|13
gnl|RZaadb|1401|WP_012484607.1	WP_012484607.1	gnl|RZaadb|1401
gnl|RZaadb|1404|WP_012484611.1	WP_012484611.1	gnl|RZaadb|1404
gnl|RZaadb|1405|WP_012484613.1	WP_012484613.1	gnl|RZaadb|1405
gnl|RZaadb|1407|WP_012484619.1	WP_012484619.1	gnl|RZaadb|1407
gnl|RZaadb|1409|WP_012484643.1	WP_012484643.1	gnl|RZaadb|1409
gnl|RZaadb|1410|WP_012484653.1	WP_012484653.1	gnl|RZaadb|1410
gnl|RZaadb|1415|WP_012484670.1	WP_012484670.1	gnl|RZaadb|1415
gnl|RZaadb|1425|WP_012484719.1	WP_012484719.1	gnl|RZaadb|1425
gnl|RZaadb|1426|WP_012484721.1	WP_012484721.1	gnl|RZaadb|1426
gnl|RZaadb|1427|WP_012484722.1	WP_012484722.1	gnl|RZaadb|1427
gnl|RZaadb|1428|WP_012484723.1	WP_012484723.1	gnl|RZaadb|1428
gnl|RZaadb|1433|WP_012484804.1	WP_012484804.1	gnl|RZaadb|1433
gnl|RZaadb|1434|WP_012484805.1	WP_012484805.1	gnl|RZaadb|1434
gnl|RZaadb|143|WP_004669780.1	WP_004669780.1	gnl|RZaadb|143
gnl|RZaadb|1440|WP_012484828.1	WP_012484828.1	gnl|RZaadb|1440
gnl|RZaadb|1461|WP_012484986.1	WP_012484986.1	gnl|RZaadb|1461
gnl|RZaadb|1463|WP_012484996.1	WP_012484996.1	gnl|RZaadb|1463
gnl|RZaadb|1464|WP_012484998.1	WP_012484998.1	gnl|RZaadb|1464
gnl|RZaadb|1470|WP_012485037.1	WP_012485037.1	gnl|RZaadb|1470
gnl|RZaadb|1471|WP_012485038.1	WP_012485038.1	gnl|RZaadb|1471
gnl|RZaadb|1473|WP_012485040.1	WP_012485040.1	gnl|RZaadb|1473
gnl|RZaadb|1474|WP_012485052.1	WP_012485052.1	gnl|RZaadb|1474
gnl|RZaadb|1477|WP_012485090.1	WP_012485090.1	gnl|RZaadb|1477
gnl|RZaadb|1478|WP_012485091.1	WP_012485091.1	gnl|RZaadb|1478
gnl|RZaadb|1479|WP_012485094.1	WP_012485094.1	gnl|RZaadb|1479
gnl|RZaadb|1481|WP_012485106.1	WP_012485106.1	gnl|RZaadb|1481
gnl|RZaadb|1482|WP_012485107.1	WP_012485107.1	gnl|RZaadb|1482
gnl|RZaadb|1484|WP_012485110.1	WP_012485110.1	gnl|RZaadb|1484
gnl|RZaadb|1488|WP_012485127.1	WP_012485127.1	gnl|RZaadb|1488
gnl|RZaadb|1495|WP_012485142.1	WP_012485142.1	gnl|RZaadb|1495
gnl|RZaadb|1497|WP_012485148.1	WP_012485148.1	gnl|RZaadb|1497
gnl|RZaadb|14|WP_003545921.1	WP_003545921.1	gnl|RZaadb|14
gnl|RZaadb|1500|WP_012485171.1	WP_012485171.1	gnl|RZaadb|1500
gnl|RZaadb|1503|WP_012485198.1	WP_012485198.1	gnl|RZaadb|1503
gnl|RZaadb|1511|WP_012485276.1	WP_012485276.1	gnl|RZaadb|1511
gnl|RZaadb|1513|WP_012485281.1	WP_012485281.1	gnl|RZaadb|1513
gnl|RZaadb|1514|WP_012485283.1	WP_012485283.1	gnl|RZaadb|1514
gnl|RZaadb|1515|WP_012485284.1	WP_012485284.1	gnl|RZaadb|1515
gnl|RZaadb|1516|WP_012485285.1	WP_012485285.1	gnl|RZaadb|1516
gnl|RZaadb|1519|WP_012485341.1	WP_012485341.1	gnl|RZaadb|1519
gnl|RZaadb|1520|WP_012485342.1	WP_012485342.1	gnl|RZaadb|1520
gnl|RZaadb|1523|WP_012485360.1	WP_012485360.1	gnl|RZaadb|1523
gnl|RZaadb|1527|WP_012485366.1	WP_012485366.1	gnl|RZaadb|1527
gnl|RZaadb|1532|WP_012485391.1	WP_012485391.1	gnl|RZaadb|1532
gnl|RZaadb|1533|WP_012485393.1	WP_012485393.1	gnl|RZaadb|1533
gnl|RZaadb|1537|WP_012485450.1	WP_012485450.1	gnl|RZaadb|1537
gnl|RZaadb|1540|WP_012485457.1	WP_012485457.1	gnl|RZaadb|1540
gnl|RZaadb|1544|WP_012485464.1	WP_012485464.1	gnl|RZaadb|1544
gnl|RZaadb|1545|WP_012485469.1	WP_012485469.1	gnl|RZaadb|1545
gnl|RZaadb|1548|WP_012485483.1	WP_012485483.1	gnl|RZaadb|1548
gnl|RZaadb|1550|WP_012485497.1	WP_012485497.1	gnl|RZaadb|1550
gnl|RZaadb|1552|WP_012485505.1	WP_012485505.1	gnl|RZaadb|1552
gnl|RZaadb|1553|WP_012485506.1	WP_012485506.1	gnl|RZaadb|1553
gnl|RZaadb|1555|WP_012485518.1	WP_012485518.1	gnl|RZaadb|1555
gnl|RZaadb|1558|WP_012485524.1	WP_012485524.1	gnl|RZaadb|1558
gnl|RZaadb|1559|WP_012485530.1	WP_012485530.1	gnl|RZaadb|1559
gnl|RZaadb|1561|WP_012485541.1	WP_012485541.1	gnl|RZaadb|1561
gnl|RZaadb|1562|WP_012485544.1	WP_012485544.1	gnl|RZaadb|1562
gnl|RZaadb|1566|WP_012485555.1	WP_012485555.1	gnl|RZaadb|1566
gnl|RZaadb|1569|WP_012485567.1	WP_012485567.1	gnl|RZaadb|1569
gnl|RZaadb|1574|WP_012485594.1	WP_012485594.1	gnl|RZaadb|1574
gnl|RZaadb|1582|WP_012485640.1	WP_012485640.1	gnl|RZaadb|1582
gnl|RZaadb|1597|WP_012489549.1	WP_012489549.1	gnl|RZaadb|1597
gnl|RZaadb|1599|WP_012489551.1	WP_012489551.1	gnl|RZaadb|1599
gnl|RZaadb|159|WP_004671248.1	WP_004671248.1	gnl|RZaadb|159
gnl|RZaadb|15|WP_003547058.1	WP_003547058.1	gnl|RZaadb|15
gnl|RZaadb|1611|WP_012489766.1	WP_012489766.1	gnl|RZaadb|1611
gnl|RZaadb|1614|WP_012489779.1	WP_012489779.1	gnl|RZaadb|1614
gnl|RZaadb|1615|WP_012489815.1	WP_012489815.1	gnl|RZaadb|1615
gnl|RZaadb|161|WP_004671262.1	WP_004671262.1	gnl|RZaadb|161
gnl|RZaadb|1625|WP_012490071.1	WP_012490071.1	gnl|RZaadb|1625
gnl|RZaadb|1627|WP_012490081.1	WP_012490081.1	gnl|RZaadb|1627
gnl|RZaadb|1638|WP_012490410.1	WP_012490410.1	gnl|RZaadb|1638
gnl|RZaadb|164|WP_004671390.1	WP_004671390.1	gnl|RZaadb|164
gnl|RZaadb|1651|WP_012490580.1	WP_012490580.1	gnl|RZaadb|1651
gnl|RZaadb|1652|WP_012490583.1	WP_012490583.1	gnl|RZaadb|1652
gnl|RZaadb|1655|WP_012490604.1	WP_012490604.1	gnl|RZaadb|1655
gnl|RZaadb|1656|WP_012490607.1	WP_012490607.1	gnl|RZaadb|1656
gnl|RZaadb|1659|WP_012490628.1	WP_012490628.1	gnl|RZaadb|1659
gnl|RZaadb|165|WP_004671394.1	WP_004671394.1	gnl|RZaadb|165
gnl|RZaadb|1666|WP_012490663.1	WP_012490663.1	gnl|RZaadb|1666
gnl|RZaadb|1673|WP_012490730.1	WP_012490730.1	gnl|RZaadb|1673
gnl|RZaadb|1694|WP_016732823.1	WP_016732823.1	gnl|RZaadb|1694
gnl|RZaadb|1696|WP_016732825.1	WP_016732825.1	gnl|RZaadb|1696
gnl|RZaadb|1699|WP_016732831.1	WP_016732831.1	gnl|RZaadb|1699
gnl|RZaadb|16|WP_003547190.1	WP_003547190.1	gnl|RZaadb|16
gnl|RZaadb|1707|WP_016732841.1	WP_016732841.1	gnl|RZaadb|1707
gnl|RZaadb|1710|WP_016732845.1	WP_016732845.1	gnl|RZaadb|1710
gnl|RZaadb|1711|WP_016732846.1	WP_016732846.1	gnl|RZaadb|1711
gnl|RZaadb|1734|WP_016732883.1	WP_016732883.1	gnl|RZaadb|1734
gnl|RZaadb|173|WP_004671535.1	WP_004671535.1	gnl|RZaadb|173
gnl|RZaadb|1743|WP_016732894.1	WP_016732894.1	gnl|RZaadb|1743
gnl|RZaadb|1744|WP_016732895.1	WP_016732895.1	gnl|RZaadb|1744
gnl|RZaadb|1745|WP_016732896.1	WP_016732896.1	gnl|RZaadb|1745
gnl|RZaadb|1746|WP_016732897.1	WP_016732897.1	gnl|RZaadb|1746
gnl|RZaadb|1755|WP_016732906.1	WP_016732906.1	gnl|RZaadb|1755
gnl|RZaadb|175|WP_004671573.1	WP_004671573.1	gnl|RZaadb|175
gnl|RZaadb|1761|WP_016732912.1	WP_016732912.1	gnl|RZaadb|1761
gnl|RZaadb|1764|WP_016732916.1	WP_016732916.1	gnl|RZaadb|1764
gnl|RZaadb|176|WP_004671586.1	WP_004671586.1	gnl|RZaadb|176
gnl|RZaadb|1771|WP_016732925.1	WP_016732925.1	gnl|RZaadb|1771
gnl|RZaadb|1779|WP_016732937.1	WP_016732937.1	gnl|RZaadb|1779
gnl|RZaadb|1780|WP_016732938.1	WP_016732938.1	gnl|RZaadb|1780
gnl|RZaadb|1782|WP_016732941.1	WP_016732941.1	gnl|RZaadb|1782
gnl|RZaadb|1783|WP_016732942.1	WP_016732942.1	gnl|RZaadb|1783
gnl|RZaadb|1788|WP_016732948.1	WP_016732948.1	gnl|RZaadb|1788
gnl|RZaadb|1789|WP_016732949.1	WP_016732949.1	gnl|RZaadb|1789
gnl|RZaadb|178|WP_004671617.1	WP_004671617.1	gnl|RZaadb|178
gnl|RZaadb|1790|WP_016732950.1	WP_016732950.1	gnl|RZaadb|1790
gnl|RZaadb|1792|WP_016732952.1	WP_016732952.1	gnl|RZaadb|1792
gnl|RZaadb|1793|WP_016732953.1	WP_016732953.1	gnl|RZaadb|1793
gnl|RZaadb|1795|WP_016732955.1	WP_016732955.1	gnl|RZaadb|1795
gnl|RZaadb|1798|WP_016732959.1	WP_016732959.1	gnl|RZaadb|1798
gnl|RZaadb|179|WP_004671619.1	WP_004671619.1	gnl|RZaadb|179
gnl|RZaadb|17|WP_003547346.1	WP_003547346.1	gnl|RZaadb|17
gnl|RZaadb|1804|WP_016732965.1	WP_016732965.1	gnl|RZaadb|1804
gnl|RZaadb|1806|WP_016732967.1	WP_016732967.1	gnl|RZaadb|1806
gnl|RZaadb|1807|WP_016732968.1	WP_016732968.1	gnl|RZaadb|1807
gnl|RZaadb|1808|WP_016732969.1	WP_016732969.1	gnl|RZaadb|1808
gnl|RZaadb|1832|WP_016733010.1	WP_016733010.1	gnl|RZaadb|1832
gnl|RZaadb|1839|WP_016733019.1	WP_016733019.1	gnl|RZaadb|1839
gnl|RZaadb|1843|WP_016733023.1	WP_016733023.1	gnl|RZaadb|1843
gnl|RZaadb|1846|WP_016733027.1	WP_016733027.1	gnl|RZaadb|1846
gnl|RZaadb|1847|WP_016733029.1	WP_016733029.1	gnl|RZaadb|1847
gnl|RZaadb|1848|WP_016733030.1	WP_016733030.1	gnl|RZaadb|1848
gnl|RZaadb|1850|WP_016733032.1	WP_016733032.1	gnl|RZaadb|1850
gnl|RZaadb|1851|WP_016733034.1	WP_016733034.1	gnl|RZaadb|1851
gnl|RZaadb|1854|WP_016733040.1	WP_016733040.1	gnl|RZaadb|1854
gnl|RZaadb|1855|WP_016733041.1	WP_016733041.1	gnl|RZaadb|1855
gnl|RZaadb|1857|WP_016733044.1	WP_016733044.1	gnl|RZaadb|1857
gnl|RZaadb|1858|WP_016733045.1	WP_016733045.1	gnl|RZaadb|1858
gnl|RZaadb|1862|WP_016733051.1	WP_016733051.1	gnl|RZaadb|1862
gnl|RZaadb|1877|WP_016733068.1	WP_016733068.1	gnl|RZaadb|1877
gnl|RZaadb|1889|WP_016733083.1	WP_016733083.1	gnl|RZaadb|1889
gnl|RZaadb|188|WP_004671783.1	WP_004671783.1	gnl|RZaadb|188
gnl|RZaadb|1891|WP_016733085.1	WP_016733085.1	gnl|RZaadb|1891
gnl|RZaadb|1895|WP_016733089.1	WP_016733089.1	gnl|RZaadb|1895
gnl|RZaadb|1899|WP_016733095.1	WP_016733095.1	gnl|RZaadb|1899
gnl|RZaadb|1907|WP_016733105.1	WP_016733105.1	gnl|RZaadb|1907
gnl|RZaadb|1908|WP_016733106.1	WP_016733106.1	gnl|RZaadb|1908
gnl|RZaadb|1915|WP_016733113.1	WP_016733113.1	gnl|RZaadb|1915
gnl|RZaadb|1917|WP_016733115.1	WP_016733115.1	gnl|RZaadb|1917
gnl|RZaadb|191|WP_004671809.1	WP_004671809.1	gnl|RZaadb|191
gnl|RZaadb|1920|WP_016733120.1	WP_016733120.1	gnl|RZaadb|1920
gnl|RZaadb|1923|WP_016733124.1	WP_016733124.1	gnl|RZaadb|1923
gnl|RZaadb|1924|WP_016733126.1	WP_016733126.1	gnl|RZaadb|1924
gnl|RZaadb|1925|WP_016733127.1	WP_016733127.1	gnl|RZaadb|1925
gnl|RZaadb|192|WP_004671846.1	WP_004671846.1	gnl|RZaadb|192
gnl|RZaadb|1932|WP_016733137.1	WP_016733137.1	gnl|RZaadb|1932
gnl|RZaadb|1938|WP_016733144.1	WP_016733144.1	gnl|RZaadb|1938
gnl|RZaadb|1942|WP_016733148.1	WP_016733148.1	gnl|RZaadb|1942
gnl|RZaadb|1948|WP_016733155.1	WP_016733155.1	gnl|RZaadb|1948
gnl|RZaadb|1949|WP_016733156.1	WP_016733156.1	gnl|RZaadb|1949
gnl|RZaadb|194|WP_004671872.1	WP_004671872.1	gnl|RZaadb|194
gnl|RZaadb|1950|WP_016733157.1	WP_016733157.1	gnl|RZaadb|1950
gnl|RZaadb|1953|WP_016733160.1	WP_016733160.1	gnl|RZaadb|1953
gnl|RZaadb|1955|WP_016733162.1	WP_016733162.1	gnl|RZaadb|1955
gnl|RZaadb|195|WP_004671901.1	WP_004671901.1	gnl|RZaadb|195
gnl|RZaadb|1960|WP_016733167.1	WP_016733167.1	gnl|RZaadb|1960
gnl|RZaadb|1967|WP_016733175.1	WP_016733175.1	gnl|RZaadb|1967
gnl|RZaadb|196|WP_004671912.1	WP_004671912.1	gnl|RZaadb|196
gnl|RZaadb|1974|WP_016733183.1	WP_016733183.1	gnl|RZaadb|1974
gnl|RZaadb|197|WP_004671916.1	WP_004671916.1	gnl|RZaadb|197
gnl|RZaadb|1980|WP_016733193.1	WP_016733193.1	gnl|RZaadb|1980
gnl|RZaadb|1985|WP_016733199.1	WP_016733199.1	gnl|RZaadb|1985
gnl|RZaadb|1987|WP_016733203.1	WP_016733203.1	gnl|RZaadb|1987
gnl|RZaadb|19|WP_003547537.1	WP_003547537.1	gnl|RZaadb|19
gnl|RZaadb|1|WP_003539403.1	WP_003539403.1	gnl|RZaadb|1
gnl|RZaadb|2001|WP_016733222.1	WP_016733222.1	gnl|RZaadb|2001
gnl|RZaadb|2011|WP_016733235.1	WP_016733235.1	gnl|RZaadb|2011
gnl|RZaadb|2012|WP_016733237.1	WP_016733237.1	gnl|RZaadb|2012
gnl|RZaadb|2013|WP_016733238.1	WP_016733238.1	gnl|RZaadb|2013
gnl|RZaadb|2016|WP_016733242.1	WP_016733242.1	gnl|RZaadb|2016
gnl|RZaadb|2018|WP_016733244.1	WP_016733244.1	gnl|RZaadb|2018
gnl|RZaadb|2025|WP_016733252.1	WP_016733252.1	gnl|RZaadb|2025
gnl|RZaadb|2029|WP_016733256.1	WP_016733256.1	gnl|RZaadb|2029
gnl|RZaadb|2037|WP_016733267.1	WP_016733267.1	gnl|RZaadb|2037
gnl|RZaadb|2058|WP_016733289.1	WP_016733289.1	gnl|RZaadb|2058
gnl|RZaadb|205|WP_004672297.1	WP_004672297.1	gnl|RZaadb|205
gnl|RZaadb|2065|WP_016733297.1	WP_016733297.1	gnl|RZaadb|2065
gnl|RZaadb|2074|WP_016733306.1	WP_016733306.1	gnl|RZaadb|2074
gnl|RZaadb|2076|WP_016733311.1	WP_016733311.1	gnl|RZaadb|2076
gnl|RZaadb|2087|WP_016733323.1	WP_016733323.1	gnl|RZaadb|2087
gnl|RZaadb|2089|WP_016733325.1	WP_016733325.1	gnl|RZaadb|2089
gnl|RZaadb|2090|WP_016733326.1	WP_016733326.1	gnl|RZaadb|2090
gnl|RZaadb|2092|WP_016733330.1	WP_016733330.1	gnl|RZaadb|2092
gnl|RZaadb|2096|WP_016733336.1	WP_016733336.1	gnl|RZaadb|2096
gnl|RZaadb|20|WP_003547547.1	WP_003547547.1	gnl|RZaadb|20
gnl|RZaadb|2103|WP_016733346.1	WP_016733346.1	gnl|RZaadb|2103
gnl|RZaadb|2104|WP_016733347.1	WP_016733347.1	gnl|RZaadb|2104
gnl|RZaadb|2113|WP_016733357.1	WP_016733357.1	gnl|RZaadb|2113
