qName	sName	peri	Evalue	bitScore	qlen	coveragePercent
gnl|RZaadb|4025	gnl|ECaadb|3663	44.04	1e-59	184	222	98.1981981981982
gnl|RZaadb|4066	gnl|ECaadb|925	57.99	0	1321	1235	97.8947368421053
gnl|RZaadb|4068	gnl|ECaadb|801	45.52	2e-45	143	164	88.4146341463415
gnl|RZaadb|4511	gnl|ECaadb|4265	61.36	9e-37	116	90	97.7777777777778
gnl|RZaadb|4619	gnl|ECaadb|619	42.15	2e-47	153	230	96.0869565217391
gnl|RZaadb|4681	gnl|ECaadb|1700	33.22	3e-38	133	287	99.6515679442509
gnl|RZaadb|4704	gnl|ECaadb|3085	60.49	0	635	535	99.6261682242991
gnl|RZaadb|4796	gnl|ECaadb|3485	48.46	8e-63	192	228	97.8070175438596
gnl|RZaadb|4872	gnl|ECaadb|1897	40.77	1e-56	177	234	98.7179487179487
gnl|RZaadb|4895	gnl|ECaadb|1814	39.32	5e-57	183	301	98.0066445182724
gnl|RZaadb|4928	gnl|ECaadb|1997	34.17	3e-30	108	223	86.9955156950673
gnl|RZaadb|4983	gnl|ECaadb|1223	30.35	5e-23	91.3	243	79.4238683127572
gnl|RZaadb|5072	gnl|ECaadb|2024	37.68	3e-107	325	513	97.270955165692
gnl|RZaadb|5131	gnl|ECaadb|3505	36.98	9e-64	203	343	97.9591836734694
gnl|RZaadb|5135	gnl|ECaadb|3911	31.38	5e-27	103	279	97.1326164874552
gnl|RZaadb|5144	gnl|ECaadb|419	39.29	2e-13	63.5	195	42.0512820512821
gnl|RZaadb|5254	gnl|ECaadb|2965	39.84	2e-26	94	140	88.5714285714286
gnl|RZaadb|5412	gnl|ECaadb|924	50.25	6e-69	207	225	90.2222222222222
gnl|RZaadb|5590	gnl|ECaadb|2796	38.89	2e-24	95.1	251	75.6972111553785
gnl|RZaadb|5630	gnl|ECaadb|2949	39.34	1e-08	50.1	210	29.047619047619
gnl|RZaadb|5641	gnl|ECaadb|1189	35.2	7e-31	108	182	97.2527472527473
gnl|RZaadb|5778	gnl|ECaadb|3381	33.87	2e-50	168	342	88.5964912280702
gnl|RZaadb|5833	gnl|ECaadb|512	44.59	8e-66	201	248	89.5161290322581
gnl|RZaadb|5895	gnl|ECaadb|391	43.9	2e-15	63.2	93	88.1720430107527
