qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|ECaadb|187|NP_414739.1	gnl|RZaadb|3760	47.7	239	122	2	33	271	44	279	1e-62	196	271	88.1918819188192
gnl|ECaadb|188|NP_414740.1	gnl|RZaadb|3762	50.69	217	107	0	1	217	1	217	2e-45	147	217	100
gnl|ECaadb|189|NP_414741.1	gnl|RZaadb|3761	44.64	345	179	5	1	342	22	357	1e-84	258	343	99.7084548104956
gnl|ECaadb|190|NP_414742.1	gnl|RZaadb|4823	33.51	188	108	6	6	178	254	439	5e-21	87	191	90.5759162303665
gnl|ECaadb|192|NP_414744.1	gnl|RZaadb|2275	38.1	294	175	6	5	294	9	299	5e-61	193	304	95.3947368421053
gnl|ECaadb|196|NP_414748.1	gnl|RZaadb|4465	40.08	247	138	6	11	251	14	256	2e-45	150	251	96.0159362549801
gnl|ECaadb|198|NP_414750.1	gnl|RZaadb|949	65.69	137	47	0	2	138	1	137	8e-65	192	155	88.3870967741936
gnl|ECaadb|199|NP_414751.1	gnl|RZaadb|1013	41.6	250	113	9	7	241	2	233	1e-53	171	243	96.7078189300412
gnl|ECaadb|204|NP_414757.1	gnl|RZaadb|4820	33.51	188	111	7	2	185	21	198	5e-22	86.7	192	95.8333333333333
gnl|ECaadb|206|NP_414759.1	gnl|RZaadb|5938	47.87	188	97	1	42	228	58	245	6e-62	197	246	76.0162601626016
gnl|ECaadb|211|NP_414766.1	gnl|RZaadb|4205	48.85	305	151	3	2	305	11	311	6e-90	271	351	86.6096866096866
gnl|ECaadb|214|NP_414769.1	gnl|RZaadb|1306	38.67	150	85	3	2	144	3	152	8e-30	103	150	95.3333333333333
gnl|ECaadb|216|NP_414773.1	gnl|RZaadb|921	48.39	155	73	3	3	150	6	160	3e-48	150	152	97.3684210526316
gnl|ECaadb|219|NP_414777.1	gnl|RZaadb|5676	43.33	360	201	3	7	365	13	370	1e-87	267	367	97.8201634877384
gnl|ECaadb|220|NP_414778.1	gnl|RZaadb|4302	40.24	415	229	3	1	407	14	417	3e-102	308	417	97.6019184652278
gnl|ECaadb|235|NP_414796.2	gnl|RZaadb|1862	48.38	308	154	1	7	309	9	316	9e-100	296	348	87.0689655172414
gnl|ECaadb|242|NP_414805.1	gnl|RZaadb|5986	45.54	549	271	8	3	536	2	537	3e-152	444	536	99.6268656716418
gnl|ECaadb|243|NP_414806.1	gnl|RZaadb|3094	34.21	228	149	1	13	240	23	249	3e-32	116	252	90.4761904761905
gnl|ECaadb|244|NP_414807.1	gnl|RZaadb|3516	57.53	332	140	1	3	334	4	334	8e-143	404	334	99.4011976047904
gnl|ECaadb|270|NP_414838.2	gnl|RZaadb|4626	35.85	463	263	8	1	441	1	451	1e-75	241	441	100
gnl|ECaadb|276|NP_414845.1	gnl|RZaadb|2961	51.01	543	256	7	1	541	1	535	0	530	556	97.3021582733813
gnl|ECaadb|277|NP_414846.1	gnl|RZaadb|5957	53.24	494	220	6	1	490	1	487	5e-172	491	490	100
gnl|ECaadb|278|NP_414847.3	gnl|RZaadb|1164	34.21	190	121	2	6	194	1	187	2e-23	90.5	195	96.9230769230769
gnl|ECaadb|289|NP_414859.1	gnl|RZaadb|351	50.29	344	169	2	4	347	5	346	9e-102	301	349	98.567335243553
gnl|ECaadb|298|NP_414869.1	gnl|RZaadb|4283	44.44	630	340	6	3	628	5	628	4e-172	502	628	99.6815286624204
gnl|ECaadb|300|NP_414871.1	gnl|RZaadb|3799	43.27	416	231	4	11	424	8	420	5e-114	338	427	96.9555035128806
gnl|ECaadb|302|NP_414873.1	gnl|RZaadb|954	46.12	219	112	5	1	214	1	218	3e-63	194	219	97.7168949771689
gnl|ECaadb|318|NP_414889.1	gnl|RZaadb|1625	45.13	277	150	2	1	275	1	277	2e-89	265	277	99.2779783393502
gnl|ECaadb|319|NP_414890.1	gnl|RZaadb|5988	59.2	375	147	1	1	369	1	375	2e-150	427	369	100
gnl|ECaadb|320|NP_414891.4	gnl|RZaadb|860	38.46	91	55	1	1	91	1	90	4e-18	69.7	91	100
gnl|ECaadb|325|NP_414898.4	gnl|RZaadb|3149	35.86	145	79	5	19	157	3	139	1e-17	75.1	185	75.1351351351351
gnl|ECaadb|326|NP_414899.2	gnl|RZaadb|4841	41.33	300	168	2	25	316	30	329	8e-69	215	320	91.25
gnl|ECaadb|327|NP_414900.1	gnl|RZaadb|4842	50	248	119	2	1	243	1	248	2e-86	255	255	95.2941176470588
gnl|ECaadb|328|NP_414901.1	gnl|RZaadb|4843	55.2	250	111	1	24	273	35	283	1e-64	201	275	90.9090909090909
gnl|ECaadb|329|NP_414902.1	gnl|RZaadb|4668	36.86	274	169	4	7	278	16	287	5e-54	175	283	96.113074204947
gnl|ECaadb|330|NP_414903.4	gnl|RZaadb|2760	45.6	318	169	3	6	319	15	332	8e-79	241	324	96.9135802469136
gnl|ECaadb|335|NP_414911.1	gnl|RZaadb|1426	53.07	407	187	2	1	403	1	407	2e-155	442	406	99.2610837438424
gnl|ECaadb|341|NP_414917.2	gnl|RZaadb|5672	32.23	394	201	14	38	407	94	445	3e-33	129	471	78.5562632696391
gnl|ECaadb|344|NP_414920.1	gnl|RZaadb|2370	36.09	266	160	6	7	267	14	274	4e-38	132	269	97.0260223048327
gnl|ECaadb|345|NP_414921.2	gnl|RZaadb|5334	37.5	136	79	3	3	136	2	133	1e-18	75.1	152	88.1578947368421
gnl|ECaadb|355|NP_414933.1	gnl|RZaadb|241	49.33	223	113	0	1	223	1	223	5e-73	219	229	97.3799126637555
gnl|ECaadb|356|NP_414934.1	gnl|RZaadb|3268	41.1	236	125	6	192	418	173	403	1e-44	157	431	52.6682134570766
gnl|ECaadb|361|NP_414939.1	gnl|RZaadb|1857	42.86	371	181	10	1	343	1	368	3e-82	252	356	96.3483146067416
gnl|ECaadb|362|NP_414940.1	gnl|RZaadb|1858	53.01	366	171	1	2	367	6	370	2e-132	381	375	97.6
gnl|ECaadb|364|NP_414942.1	gnl|RZaadb|3210	36.83	524	275	15	110	615	36	521	1e-93	304	615	82.2764227642276
gnl|ECaadb|369|NP_414947.1	gnl|RZaadb|16	42.18	147	85	0	1	147	1	147	4e-35	117	149	98.6577181208054
gnl|ECaadb|370|NP_414948.1	gnl|RZaadb|2748	49.79	233	104	3	2	233	6	226	3e-66	214	367	63.2152588555858
gnl|ECaadb|371|NP_414949.1	gnl|RZaadb|319	39.6	149	79	3	14	156	8	151	4e-21	81.6	156	91.6666666666667
gnl|ECaadb|372|NP_414950.1	gnl|RZaadb|840	31.25	144	89	2	6	139	16	159	5e-16	67.8	139	96.4028776978417
gnl|ECaadb|375|NP_414953.2	gnl|RZaadb|4479	62.58	326	120	1	1	324	1	326	2e-151	426	324	100
gnl|ECaadb|376|NP_414954.1	gnl|RZaadb|3066	48.87	620	305	6	7	615	6	624	0	555	620	98.2258064516129
gnl|ECaadb|377|NP_414955.1	gnl|RZaadb|5680	48.52	270	120	7	36	298	46	303	4e-47	157	299	87.9598662207358
gnl|ECaadb|378|NP_414956.1	gnl|RZaadb|14	48.08	52	27	0	10	61	13	64	2e-11	52.4	80	65
gnl|ECaadb|383|NP_414961.4	gnl|RZaadb|1404	34.18	158	95	3	11	163	8	161	6e-15	73.6	454	33.7004405286344
gnl|ECaadb|385|NP_414963.1	gnl|RZaadb|595	52.83	106	48	2	3	107	18	122	1e-35	116	109	96.3302752293578
gnl|ECaadb|386|NP_414964.1	gnl|RZaadb|596	61.71	175	67	0	28	202	29	203	2e-77	228	204	85.7843137254902
gnl|ECaadb|387|NP_414965.1	gnl|RZaadb|4501	65.9	651	219	2	1	650	11	659	0	881	663	98.0392156862745
gnl|ECaadb|388|NP_414966.1	gnl|RZaadb|5707	45.16	310	149	6	23	314	20	326	9e-92	276	315	92.6984126984127
gnl|ECaadb|391|NP_414969.4	gnl|RZaadb|5895	43.9	82	41	1	1	77	1	82	3e-15	63.2	105	73.3333333333333
gnl|ECaadb|392|NP_414970.1	gnl|RZaadb|570	34.36	326	202	4	1	317	1	323	2e-51	177	432	73.3796296296296
gnl|ECaadb|393|NP_414971.1	gnl|RZaadb|48	68.91	193	60	0	14	206	9	201	1e-102	293	207	93.2367149758454
gnl|ECaadb|394|NP_414972.1	gnl|RZaadb|609	70.84	415	118	3	9	423	12	423	0	598	424	97.877358490566
gnl|ECaadb|395|NP_414973.1	gnl|RZaadb|1215	64.14	764	273	1	12	775	14	776	0	987	784	97.4489795918367
gnl|ECaadb|400|NP_414978.1	gnl|RZaadb|5261	32.73	220	139	6	3	219	2	215	8e-20	82.4	231	93.9393939393939
gnl|ECaadb|403|NP_414981.4	gnl|RZaadb|545	52.32	151	71	1	2	152	1	150	5e-59	178	152	99.3421052631579
gnl|ECaadb|406|NP_414984.1	gnl|RZaadb|7	62.5	112	42	0	1	112	5	116	8e-51	154	112	100
gnl|ECaadb|407|NP_414985.1	gnl|RZaadb|1566	48.58	422	189	5	35	428	55	476	2e-99	302	428	92.0560747663551
gnl|ECaadb|408|NP_414986.1	gnl|RZaadb|839	49.45	271	135	2	15	284	21	290	5e-95	280	286	94.4055944055944
gnl|ECaadb|414|NP_414992.1	gnl|RZaadb|3433	45.36	183	99	1	2	183	3	185	1e-43	141	183	99.4535519125683
gnl|ECaadb|417|NP_414995.1	gnl|RZaadb|4998	56.34	1001	430	5	1	1001	1	994	0	1051	1049	95.4242135367016
gnl|ECaadb|419|NP_414997.1	gnl|RZaadb|5144	39.29	84	49	2	1	84	4	85	2e-13	63.5	215	39.0697674418605
gnl|ECaadb|420|NP_414998.1	gnl|RZaadb|2104	32.74	281	184	1	840	1120	546	821	3e-39	155	1120	25.0892857142857
gnl|ECaadb|424|NP_415002.1	gnl|RZaadb|618	53.18	173	81	0	11	183	8	180	3e-65	196	183	94.5355191256831
gnl|ECaadb|426|NP_415004.1	gnl|RZaadb|461	46.25	80	42	1	31	109	28	107	2e-11	53.5	109	72.4770642201835
gnl|ECaadb|427|NP_415005.1	gnl|RZaadb|462	40.1	197	117	1	3	199	6	201	7e-37	125	201	98.0099502487562
gnl|ECaadb|428|NP_415006.1	gnl|RZaadb|4092	42.24	625	342	11	5	622	10	622	3e-166	486	624	99.0384615384615
gnl|ECaadb|429|NP_415007.1	gnl|RZaadb|2603	53.21	218	92	3	1	213	1	213	7e-70	210	214	99.5327102803738
gnl|ECaadb|430|NP_415008.1	gnl|RZaadb|5078	42.24	322	180	3	1	316	15	336	5e-83	252	320	98.75
gnl|ECaadb|433|NP_415011.1	gnl|RZaadb|3208	57.07	573	220	3	1	547	1	573	9e-179	515	558	98.0286738351254
gnl|ECaadb|434|NP_415012.1	gnl|RZaadb|3759	58.68	380	157	0	21	400	13	392	3e-115	340	406	93.5960591133005
gnl|ECaadb|436|NP_415014.1	gnl|RZaadb|3404	42.28	149	83	2	2	150	5	150	7e-26	94	159	93.7106918238994
gnl|ECaadb|439|NP_415017.1	gnl|RZaadb|4733	46.59	616	319	4	224	830	222	836	2e-161	488	834	72.7817745803357
gnl|ECaadb|442|NP_415020.1	gnl|RZaadb|548	44.88	127	69	1	1	127	1	126	6e-33	110	135	94.0740740740741
gnl|ECaadb|443|NP_415021.2	gnl|RZaadb|841	34.92	126	70	5	31	150	32	151	6e-15	65.1	152	78.9473684210526
gnl|ECaadb|444|NP_415022.1	gnl|RZaadb|5079	66.07	280	95	0	18	297	23	302	4e-136	386	305	91.8032786885246
gnl|ECaadb|448|NP_415026.1	gnl|RZaadb|4473	41.03	273	144	2	13	268	2	274	4e-64	199	269	95.1672862453532
gnl|ECaadb|449|NP_415027.1	gnl|RZaadb|4378	33.5	200	126	3	15	208	12	210	2e-28	103	208	93.2692307692308
gnl|ECaadb|450|NP_415028.1	gnl|RZaadb|1558	48.23	226	109	2	3	225	2	222	7e-68	206	228	97.8070175438596
gnl|ECaadb|456|NP_415038.1	gnl|RZaadb|1434	41.38	145	83	2	3	146	5	148	9e-34	114	160	90
gnl|ECaadb|459|NP_415041.1	gnl|RZaadb|4058	41.63	257	148	1	1	257	1	255	3e-70	214	258	99.6124031007752
gnl|ECaadb|466|NP_415049.1	gnl|RZaadb|1891	34.01	394	257	2	16	408	18	409	5e-66	214	411	95.6204379562044
gnl|ECaadb|470|NP_415054.1	gnl|RZaadb|3517	50.33	300	142	2	4	296	3	302	1e-90	270	297	98.6531986531987
gnl|ECaadb|471|NP_415055.1	gnl|RZaadb|5062	33.33	348	201	6	1	319	3	348	4e-50	169	355	89.8591549295775
gnl|ECaadb|472|NP_415056.1	gnl|RZaadb|581	61.69	154	59	0	10	163	7	160	2e-52	162	169	91.1242603550296
gnl|ECaadb|474|NP_415058.1	gnl|RZaadb|197	37.41	147	73	3	2	137	11	149	1e-23	88.6	164	82.9268292682927
gnl|ECaadb|475|NP_415059.1	gnl|RZaadb|2801	47.84	370	167	8	2	355	7	366	7e-104	315	461	76.7895878524946
gnl|ECaadb|478|NP_415062.1	gnl|RZaadb|5927	48.23	282	141	3	6	283	12	292	1e-83	251	288	96.5277777777778
gnl|ECaadb|488|NP_415075.1	gnl|RZaadb|2504	55.14	107	48	0	4	110	7	113	1e-35	115	110	97.2727272727273
gnl|ECaadb|490|NP_415077.1	gnl|RZaadb|3399	51.4	179	83	2	4	180	3	179	9e-64	192	183	96.7213114754098
gnl|ECaadb|499|NP_415087.1	gnl|RZaadb|2971	40.87	115	67	1	49	163	40	153	2e-22	85.5	165	69.6969696969697
gnl|ECaadb|512|NP_415103.1	gnl|RZaadb|5833	44.59	222	123	0	1	222	24	245	1e-65	201	227	97.7973568281938
gnl|ECaadb|546|NP_415138.1	gnl|RZaadb|1247	30.97	155	93	4	33	174	31	184	4e-17	73.6	187	75.9358288770053
gnl|ECaadb|549|NP_415141.1	gnl|RZaadb|3878	47.33	393	198	6	1	388	1	389	4e-120	352	412	94.1747572815534
gnl|ECaadb|551|NP_415144.1	gnl|RZaadb|2308	31.94	263	144	8	16	268	9	246	3e-27	103	268	94.4029850746269
gnl|ECaadb|556|NP_415149.4	gnl|RZaadb|4297	30.59	304	202	2	2	301	1	299	9e-33	120	302	99.3377483443709
gnl|ECaadb|566|NP_415161.1	gnl|RZaadb|1804	50.36	278	136	2	34	311	28	303	1e-95	283	321	86.6043613707165
gnl|ECaadb|568|NP_415163.2	gnl|RZaadb|1938	40	175	92	1	12	173	28	202	2e-39	133	213	76.056338028169
gnl|ECaadb|571|NP_415166.1	gnl|RZaadb|1899	34.5	200	110	4	4	189	15	207	8e-26	103	362	51.3812154696133
gnl|ECaadb|574|NP_415169.1	gnl|RZaadb|781	35.4	161	95	5	1	154	1	159	9e-21	80.9	155	99.3548387096774
gnl|ECaadb|575|NP_415170.4	gnl|RZaadb|780	41.67	96	56	0	10	105	42	137	6e-28	97.1	105	91.4285714285714
gnl|ECaadb|580|NP_415175.1	gnl|RZaadb|4281	46.36	880	442	14	3	859	4	876	0	763	860	99.6511627906977
gnl|ECaadb|582|NP_415177.4	gnl|RZaadb|3253	38.78	147	84	1	96	242	993	1133	2e-22	95.5	325	45.2307692307692
gnl|ECaadb|582|NP_415177.4	gnl|RZaadb|3253	35.06	154	99	1	126	278	980	1133	9e-21	90.5	325	47.0769230769231
gnl|ECaadb|582|NP_415177.4	gnl|RZaadb|3253	31.52	165	112	1	162	325	980	1144	4e-20	89	325	50.4615384615385
gnl|ECaadb|589|NP_415184.1	gnl|RZaadb|3350	46.93	309	160	4	2	307	4	311	2e-81	246	311	98.3922829581994
gnl|ECaadb|597|NP_415192.1	gnl|RZaadb|3346	43.75	160	74	4	6	150	4	162	1e-26	96.3	155	93.5483870967742
gnl|ECaadb|598|NP_415193.2	gnl|RZaadb|606	48.46	324	157	4	4	322	19	337	8e-94	281	346	92.1965317919075
gnl|ECaadb|599|NP_415194.1	gnl|RZaadb|3345	48.65	444	214	6	2	435	21	460	5e-142	413	474	91.5611814345991
gnl|ECaadb|604|NP_415203.1	gnl|RZaadb|4329	39.42	378	215	9	8	377	10	381	2e-71	226	382	96.8586387434555
gnl|ECaadb|610|NP_415209.1	gnl|RZaadb|772	43.33	120	67	1	12	131	16	134	9e-31	105	148	81.0810810810811
gnl|ECaadb|617|NP_415219.1	gnl|RZaadb|3522	56.07	428	187	1	6	432	15	442	4e-171	485	439	97.2665148063781
gnl|ECaadb|618|NP_415220.1	gnl|RZaadb|3521	52.88	660	279	5	91	718	127	786	0	699	732	85.792349726776
gnl|ECaadb|619|NP_415222.1	gnl|RZaadb|4619	42.15	223	126	2	2	223	6	226	2e-47	154	225	98.6666666666667
gnl|ECaadb|620|NP_415223.1	gnl|RZaadb|6001	39.89	900	516	12	7	890	11	901	4e-157	481	894	98.8814317673378
gnl|ECaadb|621|NP_415224.1	gnl|RZaadb|4620	44.26	183	99	2	4	186	5	184	5e-43	140	190	96.3157894736842
gnl|ECaadb|622|NP_415225.1	gnl|RZaadb|4621	64.18	684	236	4	4	681	5	685	0	741	682	99.4134897360704
gnl|ECaadb|623|NP_415226.1	gnl|RZaadb|4622	53.93	560	253	3	1	556	1	559	0	525	557	99.8204667863555
gnl|ECaadb|630|NP_415236.1	gnl|RZaadb|1711	36.44	483	276	11	5	469	10	479	8e-89	277	472	98.5169491525424
