qName	sName	peri	Evalue	bitScore	qlen	coveragePercent
gnl|ECaadb|2965	gnl|RZaadb|5254	39.84	3e-26	94	141	90.0709219858156
gnl|ECaadb|3073	gnl|RZaadb|815	46.35	6e-67	204	239	96.652719665272
gnl|ECaadb|3085	gnl|RZaadb|4704	60.49	0	619	532	99.0601503759399
gnl|ECaadb|3152	gnl|RZaadb|544	41.27	4e-11	53.1	117	53.8461538461538
gnl|ECaadb|3333	gnl|RZaadb|1060	33.33	2e-72	235	467	96.5738758029979
gnl|ECaadb|3381	gnl|RZaadb|5778	33.87	2e-50	168	330	92.4242424242424
gnl|ECaadb|3444	gnl|RZaadb|1274	44.21	1e-124	369	469	98.7206823027718
gnl|ECaadb|3458	gnl|RZaadb|3897	36.73	5e-58	183	261	93.8697318007663
gnl|ECaadb|3478	gnl|RZaadb|52	34.34	2e-14	70.1	278	35.6115107913669
gnl|ECaadb|3485	gnl|RZaadb|4796	48.46	4e-60	186	232	97.4137931034483
gnl|ECaadb|3505	gnl|RZaadb|5131	36.98	1e-63	203	341	98.8269794721408
gnl|ECaadb|3530	gnl|RZaadb|3649	39.93	4e-60	191	305	95.0819672131148
gnl|ECaadb|3538	gnl|RZaadb|2629	31.36	9e-13	64.7	321	70.404984423676
gnl|ECaadb|3559	gnl|RZaadb|17	48.31	8e-27	91.7	90	98.8888888888889
gnl|ECaadb|3600	gnl|RZaadb|592	37.01	2e-16	69.3	171	72.5146198830409
gnl|ECaadb|3617	gnl|RZaadb|1540	67.83	2e-60	182	154	92.8571428571429
gnl|ECaadb|3663	gnl|RZaadb|4025	44.04	1e-50	161	222	97.2972972972973
gnl|ECaadb|3683	gnl|RZaadb|1877	30	2e-07	50.8	512	19.53125
gnl|ECaadb|3724	gnl|RZaadb|995	40.97	3e-29	102	141	98.5815602836879
gnl|ECaadb|3733	gnl|RZaadb|2614	46.41	7e-119	359	541	81.5157116451017
gnl|ECaadb|3737	gnl|RZaadb|524	32.03	6e-42	141	251	99.203187250996
gnl|ECaadb|3796	gnl|RZaadb|2787	41.06	3e-97	300	503	85.8846918489066
gnl|ECaadb|3911	gnl|RZaadb|5135	31.38	7e-27	103	289	95.8477508650519
gnl|ECaadb|4182	gnl|RZaadb|642	33.66	7e-52	172	331	89.7280966767372
gnl|ECaadb|4265	gnl|RZaadb|4511	61.36	1e-36	116	84	100
