ProteinID	Locus_tag	NCBI_name	Regulondb_name	Abasy_name	Ecocyc_name	Synonyms	RegulondbID	EC_product
NP_414566.1	b0025	ribF	ribF	ribF	ribF	yaaC	ECK120001067	bifunctional riboflavin kinase/FMN adenylyltransferase
NP_414567.1	b0026	ileS	ileS	ileS	ileS	ilvS	ECK120000485	isoleucine--tRNA ligase
NP_414568.1	b0027	lspA	lspA	lspA	lspA	lsp	ECK120000541	lipoprotein signal peptidase
NP_414569.1	b0028	fkpB	fkpB	fkpB	fkpB	slpA // yaaD	ECK120001068	peptidyl-prolyl cis-trans isomerase FkpB
NP_414570.1	b0029	ispH	ispH	ispH	ispH	yaaE // lytB	ECK120001069	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
NP_414571.1	b0030	rihC	rihC	NA	rihC	yaaF	ECK120001070	ribonucleoside hydrolase RihC
NP_414572.1	b0031	dapB	dapB	dapB	dapB		ECK120000200	4-hydroxy-tetrahydrodipicolinate reductase
NP_414573.1	b0032	carA	carA	carA	carA	arg // cap // pyrA	ECK120000130	carbamoyl phosphate synthetase subunit alpha
NP_414574.1	b0033	carB	carB	carB	carB	cap // pyrA	ECK120000131	carbamoyl phosphate synthetase subunit beta
NP_414576.4	b0034	caiF	caiF	caiF	caiF		ECK120002708	DNA-binding transcriptional activator CaiF
NP_414577.2	b0035	caiE	caiE	caiE	caiE		ECK120002330	putative transferase CaiE
NP_414578.2	b0036	caiD	caiD	caiD	caiD	yaaL	ECK120001510	crotonobetainyl-CoA hydratase
NP_414579.4	b0037	caiC	caiC	caiC	caiC	yaaM	ECK120001511	carnitine--CoA ligase
NP_414580.1	b0038	caiB	caiB	caiB	caiB	yaaN	ECK120001512	gamma-butyrobetainyl-CoA:carnitine CoA transferase
NP_414581.1	b0039	caiA	caiA	caiA	caiA	yaaO	ECK120001513	crotonobetainyl-CoA reductase
NP_414582.1	b0040	caiT	caiT	caiT	caiT	yaaP	ECK120001514	L-carnitine:gamma-butyrobetaine antiporter
NP_414583.2	b0041	fixA	fixA	fixA	fixA	yaaQ	ECK120001515	putative electron transfer flavoprotein FixA
NP_414584.1	b0042	fixB	fixB	fixB	fixB	yaaR	ECK120001516	putative electron transfer flavoprotein FixB
NP_414585.1	b0043	fixC	fixC	fixC	fixC	yaaS	ECK120001517	putative oxidoreductase FixC
NP_414586.1	b0044	fixX	fixX	fixX	fixX	yaaT	ECK120001518	putative ferredoxin FixX
NP_414587.1	b0045	yaaU	yaaU	NA	yaaU	yabE	ECK120001519	putative transporter YaaU
NP_414588.1	b0046	kefF	kefF	NA	kefF	yabF	ECK120001520	regulator of KefC-mediated potassium transport and quinone oxidoreductase
NP_414589.1	b0047	kefC	kefC	NA	kefC	trkC	ECK120000514	K(+) : H(+) antiporter KefC
NP_414590.1	b0048	folA	folA	folA	folA	tmr // tmrA	ECK120000320	dihydrofolate reductase
NP_414591.1	b0049	apaH	apaH	NA	apaH	cfcB	ECK120000044	diadenosine tetraphosphatase
NP_414592.1	b0050	apaG	apaG	NA	apaG		ECK120000043	DUF525 domain-containing protein ApaG
NP_414593.1	b0051	rsmA	rsmA	NA	rsmA	ksgA	ECK120000516	16S rRNA m(6)2A1518
NP_414594.1	b0052	pdxA	pdxA	pdxA	pdxA		ECK120000684	4-hydroxythreonine-4-phosphate dehydrogenase
NP_414595.1	b0053	surA	surA	surA	surA		ECK120000974	chaperone SurA
NP_414596.1	b0054	lptD	lptD	lptD	lptD	yabG // ostA // imp	ECK120001521	lipopolysaccharide assembly protein LptD
NP_414597.1	b0055	djlA	djlA	NA	djlA	yabH	ECK120001522	co-chaperone protein DjlA
YP_009518734.1	b0056	yabP	yabP	NA	yabP	b4659	ECK120002332	putative uncharacterized protein YabP
YP_009518735.1	b0057	yabQ	yabQ	NA	yabQ	b4659	ECK120002333	protein YabQ
NP_414600.1	b0058	rluA	rluA	rluA	rluA	yabO	ECK120002331	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
NP_414601.1	b0059	rapA	rapA	rapA	rapA	yabA // hepA	ECK120001071	RNA polymerase-binding ATPase and RNAP recycling factor
NP_414602.1	b0060	polB	polB	polB	polB	dinA	ECK120000738	DNA polymerase II
NP_414603.1	b0061	araD	araD	araD	araD		ECK120000051	L-ribulose-5-phosphate 4-epimerase AraD
NP_414604.1	b0062	araA	araA	araA	araA		ECK120000048	L-arabinose isomerase
NP_414605.1	b0063	araB	araB	araB	araB		ECK120000049	ribulokinase
NP_414606.1	b0064	araC	araC	araC	araC		ECK120000050	DNA-binding transcriptional dual regulator AraC
NP_414607.1	b0065	yabI	yabI	yabI	yabI		ECK120001523	DedA family protein YabI
NP_414608.1	b0066	thiQ	thiQ	thiQ	thiQ	sfuC // yabJ	ECK120001524	thiamine ABC transporter ATP binding subunit
NP_414609.1	b0067	thiP	thiP	thiP	thiP	sfuB // yabK	ECK120001525	thiamine ABC transporter membrane subunit
NP_414610.1	b0068	thiB	thiB	thiB	thiB	yabL // sfuA // tbpA	ECK120001526	thiamine ABC transporter periplasmic binding protein
NP_414611.1	b0069	sgrR	sgrR	sgrR	sgrR	yabN	ECK120001999	DNA-binding transcriptional dual regulator SgrR
YP_025293.1	b0070	setA	setA	setA	setA	yabM	ECK120001692	sugar exporter SetA
NP_414613.1	b0071	leuD	leuD	leuD	leuD		ECK120001527	3-isopropylmalate dehydratase subunit LeuD
NP_414614.1	b0072	leuC	leuC	leuC	leuC		ECK120001528	3-isopropylmalate dehydratase subunit LeuC
NP_414615.4	b0073	leuB	leuB	leuB	leuB		ECK120001529	3-isopropylmalate dehydrogenase
NP_414616.1	b0074	leuA	leuA	leuA	leuA		ECK120001204	2-isopropylmalate synthase
NP_414617.1	b0075	leuL	leuL	leuL	leuL	leuLP // leulL // leulLP // leuIP	ECK120001253	leu operon leader peptide
NP_414618.4	b0076	leuO	leuO	leuO	leuO		ECK120000524	DNA-binding transcriptional dual regulator LeuO
YP_025294.2	b0077	ilvI	ilvI	ilvI	ilvI		ECK120000493	acetolactate synthase/acetohydroxybutanoate synthase
NP_414620.1	b0078	ilvH	ilvH	ilvH	ilvH	brnP	ECK120000492	acetolactate synthase/acetohydroxybutanoate synthase
NP_414622.1	b0080	cra	cra	cra	cra	fruR // fruC // shl	ECK120000332	DNA-binding transcriptional dual regulator Cra
NP_414623.1	b0081	mraZ	mraZ	mraZ	mraZ	yabB	ECK120001072	DNA-binding transcriptional repressor MraZ
NP_414624.1	b0082	rsmH	rsmH	rsmH	rsmH	yabC // mraW	ECK120001073	16S rRNA m(4)C1402 methyltransferase
NP_414625.1	b0083	ftsL	ftsL	ftsL	ftsL	mraR // yabD	ECK120001074	cell division protein FtsL
NP_414626.1	b0084	ftsI	ftsI	ftsI	ftsI	pbpB // sep	ECK120000335	peptidoglycan DD-transpeptidase FtsI
NP_414627.1	b0085	murE	murE	murE	murE		ECK120000614	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2
NP_414628.1	b0086	murF	murF	murF	murF	mra	ECK120000615	D-alanyl-D-alanine-adding enzyme
NP_414629.1	b0087	mraY	mraY	mraY	mraY	murX	ECK120000597	phospho-N-acetylmuramoyl-pentapeptide-transferase
NP_414630.1	b0088	murD	murD	murD	murD		ECK120000613	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
NP_414631.1	b0089	ftsW	ftsW	ftsW	ftsW		ECK120000338	essential cell division protein FtsW
NP_414632.1	b0090	murG	murG	murG	murG		ECK120000616	N-acetylglucosaminyl transferase
NP_414633.1	b0091	murC	murC	murC	murC		ECK120000612	UDP-N-acetylmuramate--L-alanine ligase
NP_414634.1	b0092	ddlB	ddlB	ddlB	ddlB	ddl	ECK120000208	D-alanine--D-alanine ligase B
NP_414635.1	b0093	ftsQ	ftsQ	ftsQ	ftsQ		ECK120000336	cell division protein FtsQ
NP_414636.1	b0094	ftsA	ftsA	ftsA	ftsA	divA	ECK120000333	cell division protein FtsA
NP_414637.1	b0095	ftsZ	ftsZ	ftsZ	ftsZ	sfiB // sulB	ECK120000341	cell division protein FtsZ
NP_414638.1	b0096	lpxC	lpxC	lpxC	lpxC	asmB // envA	ECK120000259	UDP-3-O-acyl-N-acetylglucosamine deacetylase
NP_414639.2	b0097	secM	secM	NA	secM	srrA // yacA	ECK120001075	SecA translation regulator
NP_414640.1	b0098	secA	secA	NA	secA	azi // pea // prlD	ECK120000925	protein translocation ATPase
NP_414641.1	b0099	mutT	mutT	NA	mutT	nudA	ECK120000619	8-oxo-dGTP diphosphatase
NP_414643.1	b0101	yacG	yacG	NA	yacG		ECK120002191	DNA gyrase inhibitor YacG
NP_414644.1	b0102	zapD	zapD	NA	zapD	yacF	ECK120002190	cell division factor ZapD
NP_414645.1	b0103	coaE	coaE	NA	coaE	yacE	ECK120002189	dephospho-CoA kinase
NP_414646.1	b0104	guaC	guaC	NA	guaC		ECK120000415	GMP reductase
NP_414648.1	b0106	hofC	hofC	hofC	hofC	yacD // hopC	ECK120001732	inner membrane protein HofC
NP_414649.1	b0107	hofB	hofB	hofB	hofB	hopB	ECK120002011	T2SSE family protein
NP_414650.1	b0108	ppdD	ppdD	ppdD	ppdD		ECK120002012	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
NP_414651.1	b0109	nadC	nadC	NA	nadC		ECK120001500	quinolinate phosphoribosyltransferase (decarboxylating)
NP_414652.1	b0110	ampD	ampD	NA	ampD		ECK120000037	1
NP_414653.1	b0111	ampE	ampE	NA	ampE		ECK120000038	protein AmpE
NP_414654.1	b0112	aroP	aroP	aroP	aroP	aroR	ECK120000080	aromatic amino acid:H(+) symporter AroP
NP_414655.1	b0113	pdhR	pdhR	pdhR	pdhR	aceC // genA // yacB	ECK120001076	DNA-binding transcriptional dual regulator PdhR
NP_414656.1	b0114	aceE	aceE	aceE	aceE		ECK120000021	pyruvate dehydrogenase E1 component
NP_414657.1	b0115	aceF	aceF	aceF	aceF		ECK120000022	pyruvate dehydrogenase
NP_414658.1	b0116	lpd	lpd	lpd	lpd	dhl // lpdA	ECK120000536	lipoamide dehydrogenase
NP_414659.1	b0117	yacH	yacH	NA	yacH		ECK120002192	DUF3300 domain-containing protein YacH
NP_414660.1	b0118	acnB	acnB	acnB	acnB	yacJ // yacI	ECK120002193	hypothetical protein b0118
NP_414661.2	b0119	yacL	yacL	NA	yacL		ECK120002328	UPF0231 family protein YacL
NP_414662.1	b0120	speD	speD	speD	speD		ECK120000951	S-adenosylmethionine decarboxylase proenzyme
NP_414663.1	b0121	speE	speE	speE	speE		ECK120000952	spermidine synthase
NP_414664.4	b0122	yacC	yacC	yacC	yacC		ECK120001077	putative lipoprotein YacC
NP_414665.1	b0123	cueO	cueO	cueO	cueO	yacK	ECK120002194	multicopper oxidase CueO
NP_414666.1	b0124	gcd	gcd	gcd	gcd		ECK120000362	quinoprotein glucose dehydrogenase
NP_414667.4	b0125	hpt	hpt	hpt	hpt		ECK120002443	hypoxanthine phosphoribosyltransferase
NP_414668.1	b0126	can	can	can	can	yadF	ECK120002195	carbonic anhydrase 2
NP_414669.1	b0127	yadG	yadG	NA	yadG		ECK120002196	putative ABC transporter ATP-binding protein YadG
NP_414670.1	b0128	yadH	yadH	NA	yadH		ECK120002197	putative ABC transporter membrane subunit YadH
NP_414671.1	b0129	yadI	yadI	NA	yadI	agaX	ECK120002198	putative PTS enzyme IIA component YadI
NP_414672.1	b0130	yadE	yadE	NA	yadE		ECK120001687	putative polysaccharide deacetylase lipoprotein YadE
NP_414673.1	b0131	panD	panD	panD	panD		ECK120001685	aspartate 1-decarboxylase proenzyme
NP_414674.1	b0132	rpnC	rpnC	NA	rpnC	yadD	ECK120001686	recombination-promoting nuclease RpnC
NP_414675.1	b0133	panC	panC	panC	panC		ECK120001684	pantothenate synthetase
NP_414676.1	b0134	panB	panB	panB	panB		ECK120001618	3-methyl-2-oxobutanoate hydroxymethyltransferase
NP_414677.1	b0135	yadC	yadC	NA	yadC		ECK120001621	fimbrial tip-adhesin YadC
NP_414678.1	b0136	yadK	yadK	NA	yadK		ECK120002200	putative fimbrial protein YadK
NP_414679.1	b0137	yadL	yadL	NA	yadL		ECK120002201	putative fimbrial protein YadL
NP_414680.4	b0138	yadM	yadM	NA	yadM		ECK120002202	putative fimbrial protein YadM
NP_414681.1	b0139	htrE	htrE	htrE	htrE		ECK120001897	putative fimbrial usher protein HtrE
NP_414682.1	b0140	yadV	yadV	yadV	yadV	ecpD	ECK120001898	putative fimbrial chaperone YadV
NP_414683.1	b0141	yadN	yadN	NA	yadN		ECK120002203	putative fimbrial protein YadN
NP_414684.1	b0142	folK	folK	folK	folK		ECK120001342	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
NP_414685.4	b0143	pcnB	pcnB	pcnB	pcnB		ECK120000683	poly(A) polymerase I
NP_414686.3	b0144	gluQ	gluQ	gluQ	gluQ	yadB	ECK120001331	glutamyl-Q tRNA(Asp) synthetase
NP_414687.1	b0145	dksA	dksA	dksA	dksA	msmA	ECK120000224	RNA polymerase-binding transcription factor DksA
NP_414688.1	b0146	sfsA	sfsA	NA	sfsA	sfs // sfs1	ECK120000938	putative DNA-binding transcriptional regulator of maltose metabolism
NP_414689.4	b0147	thpR	thpR	NA	thpR	yadP // ligT	ECK120002205	RNA 2\\
NP_414690.4	b0148	hrpB	hrpB	NA	hrpB	yadO	ECK120002204	RNA-dependent NTPase HrpB
YP_010051172.1	b0149	mrcB	mrcB	NA	mrcB	pbpF // ponB	ECK120000598	PBP1Bgamma
NP_414691.1	b0149	mrcB	mrcB	NA	mrcB	pbpF // ponB	ECK120000598	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
NP_414692.1	b0150	fhuA	fhuA	fhuA	fhuA	T1 // T5rec // tonA	ECK120000296	ferrichrome outer membrane transporter/phage receptor
NP_414693.1	b0151	fhuC	fhuC	fhuC	fhuC		ECK120000298	iron(III) hydroxamate ABC transporter ATP binding subunit
NP_414694.1	b0152	fhuD	fhuD	fhuD	fhuD		ECK120000299	iron(III) hydroxamate ABC transporter periplasmic binding protein
NP_414695.1	b0153	fhuB	fhuB	fhuB	fhuB		ECK120000297	iron(III) hydroxamate ABC transporter membrane subunit
NP_414696.1	b0154	hemL	hemL	hemL	hemL	gsa // popC	ECK120000425	glutamate-1-semialdehyde 2
NP_414697.1	b0155	clcA	clcA	NA	clcA	eriC // yadQ	ECK120002206	chloride:H(+) antiporter ClcA
NP_414698.1	b0156	erpA	erpA	erpA	erpA	yadR	ECK120002207	iron-sulfur cluster insertion protein ErpA
NP_414699.1	b0157	yadS	yadS	yadS	yadS		ECK120002208	PF03458 family protein YadS
NP_414700.1	b0158	btuF	btuF	btuF	btuF	yadT	ECK120002209	vitamin B12 ABC transporter periplasmic binding protein
NP_414701.1	b0159	mtn	mtn	mtnN	mtn	pfs // yadA // mtnN	ECK120001078	5\\-methylthioadenosine/S-adenosylhomocysteine nucleosidase
NP_414702.1	b0160	dgt	dgt	NA	dgt	optA	ECK120000219	dGTP triphosphohydrolase
NP_414703.1	b0161	degP	degP	degP	degP	htrA // ptd	ECK120000456	periplasmic serine endoprotease DegP
NP_414704.4	b0162	cdaR	cdaR	NA	cdaR	sdaR // yaeG	ECK120002210	DNA-binding transcriptional activator CdaR
NP_414705.1	b0163	yaeH	yaeH	NA	yaeH		ECK120002211	DUF3461 domain-containing protein YaeH
NP_414706.2	b0164	yaeI	yaeI	NA	yaeI		ECK120002212	phosphodiesterase YaeI
NP_414708.1	b0166	dapD	dapD	dapD	dapD	ssa	ECK120000201	tetrahydrodipicolinate succinylase
NP_414709.1	b0167	glnD	glnD	NA	glnD	glnD5	ECK120001377	PII uridylyltransferase/uridylyl removing enzyme
NP_414710.1	b0168	map	map	NA	map		ECK120000563	methionine aminopeptidase
NP_414711.1	b0169	rpsB	rpsB	rpsB	rpsB		ECK120000892	30S ribosomal subunit protein S2
NP_414712.1	b0170	tsf	tsf	tsf	tsf		ECK120001022	protein chain elongation factor EF-Ts
NP_414713.1	b0171	pyrH	pyrH	pyrH	pyrH	umk // smbA	ECK120001493	UMP kinase
NP_414714.1	b0172	frr	frr	frr	frr	rrf	ECK120000329	ribosome-recycling factor
NP_414715.1	b0173	dxr	dxr	NA	dxr	yaeM // ispC	ECK120002371	1-deoxy-D-xylulose 5-phosphate reductoisomerase
NP_414716.1	b0174	uppS	uppS	NA	ispU	uppS // rth // yaeS	ECK120002712	ditrans
NP_414717.2	b0175	cdsA	cdsA	NA	cdsA	cds	ECK120000135	CDP-diglyceride synthetase
NP_414718.1	b0176	rseP	rseP	rseP	rseP	ecfE // yaeL	ECK120002290	intramembrane zinc metalloprotease RseP
NP_414719.1	b0177	bamA	bamA	bamA	bamA	yzzY // yzzN // ecfK // yaeT	ECK120002713	outer membrane protein assembly factor BamA
NP_414720.1	b0178	skp	skp	skp	skp	ompH // hlpA // firA	ECK120000448	periplasmic chaperone Skp
NP_414721.1	b0179	lpxD	lpxD	lpxD	lpxD	omsA // firA	ECK120000310	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
NP_414722.1	b0180	fabZ	fabZ	fabZ	fabZ	sfhC21 // sabA1 // sefA // yaeA	ECK120001257	3-hydroxy-acyl
NP_414723.1	b0181	lpxA	lpxA	lpxA	lpxA		ECK120000538	acyl
NP_414724.1	b0182	lpxB	lpxB	lpxB	lpxB	pgsB	ECK120000539	lipid A disaccharide synthase
NP_414725.1	b0183	rnhB	rnhB	rnhB	rnhB		ECK120000852	RNase HII
NP_414726.1	b0184	dnaE	dnaE	dnaE	dnaE	sdgC // polC	ECK120000232	DNA polymerase III subunit alpha
NP_414727.1	b0185	accA	accA	accA	accA		ECK120001591	acetyl-CoA carboxyltransferase subunit alpha
NP_414728.1	b0186	ldcC	ldcC	NA	ldcC	ldc // ldcH	ECK120002714	lysine decarboxylase 2
NP_414729.4	b0187	yaeR	yaeR	NA	yaeR		ECK120002715	VOC domain-containing protein YaeR
NP_414730.1	b0188	tilS	tilS	NA	tilS	yaeN // mesJ	ECK120002716	tRNA(Ile)-lysidine synthetase
NP_414731.2	b0189	rof	rof	NA	rof	yaeO	ECK120002717	modulator of Rho-dependent transcription termination
NP_414732.1	b0190	yaeQ	yaeQ	NA	yaeQ		ECK120002718	uncharacterized protein YaeQ
NP_414733.1	b0191	arfB	arfB	NA	arfB	yaeJ	ECK120002223	peptidyl-tRNA hydrolase
NP_414734.1	b0192	nlpE	nlpE	NA	nlpE	cutF	ECK120002038	sensor lipoprotein NlpE
NP_414735.4	b0193	yaeF	yaeF	NA	yaeF	yaeK	ECK120002039	peptidase C92 family protein YaeF
NP_414736.1	b0194	proS	proS	proS	proS	drp // drpA	ECK120000761	proline--tRNA ligase
NP_414737.1	b0195	trmO	trmO	NA	trmO	tsaA // yaeB	ECK120001459	tRNA m(6)t(6)A37 methyltransferase
NP_414738.1	b0196	rcsF	rcsF	NA	rcsF		ECK120001458	sensor lipoprotein RcsF
NP_414739.1	b0197	metQ	metQ	metQ	metQ	metD // yaeC	ECK120001460	L-methionine/D-methionine ABC transporter membrane anchored binding protein
NP_414740.1	b0198	metI	metI	metI	metI	metD // yaeE	ECK120001676	L-methionine/D-methionine ABC transporter membrane subunit
NP_414741.1	b0199	metN	metN	metN	metN	metD // abc	ECK120001569	L-methionine/D-methionine ABC transporter ATP binding subunit
NP_414742.1	b0200	gmhB	gmhB	NA	gmhB	yaeD	ECK120001675	D-glycero-beta-D-manno-heptose-1
NP_414743.1	b0207	dkgB	dkgB	NA	dkgB	yafB	ECK120001592	methylglyoxal reductase DkgB
NP_414744.1	b0208	yafC	yafC	NA	yafC		ECK120001593	LysR family transcriptional regulator YafC
NP_414745.1	b0209	yafD	yafD	yafD	yafD		ECK120001594	endonuclease/exonuclease/phosphatase domain-containing protein YafD
NP_414746.1	b0210	yafE	yafE	yafE	yafE		ECK120001595	putative S-adenosylmethionine-dependent methyltransferase
NP_414747.1	b0211	mltD	mltD	NA	mltD	yafG // dniR	ECK120000240	membrane-bound lytic murein transglycosylase D
NP_414748.1	b0212	gloB	gloB	NA	gloB	yafR	ECK120002719	hydroxyacylglutathione hydrolase GloB
NP_414749.2	b0213	yafS	yafS	NA	yafS		ECK120002720	putative S-adenosyl-L-methionine-dependent methyltransferase
NP_414750.1	b0214	rnhA	rnhA	NA	rnhA	cer // sin // dasF // herA // rnh // sdrA	ECK120000851	ribonuclease HI
NP_414751.1	b0215	dnaQ	dnaQ	NA	dnaQ	mutD	ECK120000237	DNA polymerase III subunit epsilon
NP_414752.1	b0217	yafT	yafT	NA	yafT		ECK120002721	lipoprotein YafT
NP_414754.1	b0219	yafV	yafV	NA	yafV		ECK120002723	2-oxoglutaramate amidase
NP_414755.1	b0220	ivy	ivy	NA	ivy	ykfE	ECK120002724	periplasmic chaperone
NP_414756.2	b0221	fadE	fadE	fadE	fadE	yafH	ECK120002725	acyl-CoA dehydrogenase
NP_414757.1	b0222	gmhA	gmhA	NA	gmhA	yafI // lpcA // tfrA	ECK120002726	D-sedoheptulose 7-phosphate isomerase
NP_414758.1	b0223	yafJ	yafJ	NA	yafJ		ECK120002727	putative glutamine amidotransferase YafJ
NP_414759.1	b0224	ldtF	ldtF	NA	dpaA	yafK // ldtF	ECK120002728	L
NP_414760.1	b0225	yafQ	yafQ	yafQ	yafQ		ECK120002729	ribosome-dependent mRNA interferase toxin YafQ
NP_414761.1	b0226	dinJ	dinJ	dinJ	dinJ	sosA	ECK120002730	antitoxin/DNA-binding transcriptional repressor DinJ
NP_414762.1	b0227	yafL	yafL	NA	yafL		ECK120002731	NlpC/P60 family protein YafL
NP_414763.1	b0228	rayT	rayT	NA	rayT	yafM	ECK120002732	REP-associated tyrosine transposase
NP_414766.1	b0231	dinB	dinB	NA	dinB	dinP	ECK120002735	DNA polymerase IV
NP_414767.1	b0232	yafN	yafN	yafN	yafN		ECK120002736	antitoxin YafN
NP_414768.1	b0233	yafO	yafO	yafO	yafO		ECK120002737	ribosome-dependent mRNA interferase toxin YafO
NP_414769.1	b0234	yafP	yafP	yafP	yafP		ECK120002738	putative acyltransferase with acyl-CoA N-acyltransferase domain
NP_414772.1	b0237	pepD	pepD	pepD	pepD	pepH	ECK120000687	peptidase D
NP_414773.1	b0238	gpt	gpt	NA	gpt	glyD // gpp // gxu	ECK120000407	xanthine-guanine phsophoribosyltransferase
NP_414774.1	b0239	frsA	frsA	frsA	frsA	yafA	ECK120001079	fermentation-respiration switch protein
NP_414776.1	b0241	phoE	phoE	phoE	phoE	ompE	ECK120000720	outer membrane porin PhoE
NP_414777.1	b0242	proB	proB	NA	proB	pro(2) // pro2	ECK120000759	glutamate 5-kinase
NP_414778.1	b0243	proA	proA	NA	proA	pro(1) // pro1	ECK120000758	glutamate-5-semialdehyde dehydrogenase
NP_414779.1	b0245	ykfI	ykfI	NA	ykfI		ECK120002740	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
NP_414780.1	b0246	yafW	yafW	NA	yafW		ECK120002741	antitoxin of the YkfI-YafW toxin-antitoxin pair
NP_414781.1	b0247	ykfG	ykfG	NA	ykfG		ECK120002742	CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
NP_414782.1	b0248	yafX	yafX	NA	yafX		ECK120002743	CP4-6 prophage; protein YafX
NP_414783.1	b0249	ykfF	ykfF	NA	ykfF		ECK120002744	CP4-6 prophage; protein YkfF
NP_414784.1	b0250	ykfB	ykfB	NA	ykfB		ECK120002745	CP4-6 prophage; protein YkfB
NP_414785.4	b0251	yafY	yafY	NA	yafY		ECK120002746	CP4-6 prophage; inner membrane lipoprotein YafY
NP_414786.4	b0252	yafZ	yafZ	NA	yafZ		ECK120002747	CP4-6 prophage; DUF932 domain-containing protein YafZ
NP_414787.4	b0253	ykfA	ykfA	NA	ykfA		ECK120002748	CP4-6 prophage; putative GTP-binding protein YkfA
NP_414788.1	b0254	perR	perR	NA	perR		ECK120002749	CP4-6 prophage; putative transcriptional regulator PerR
NP_414790.1	b0256	insI1	insI1	insI1	insI1	tra8-1	ECK120002751	IS30 transposase
YP_009518741.1	b0258	ykfC	ykfC	NA	ykfC		ECK120002753	CP4-6 prophage; PF00078 domain-containing protein YkfC
NP_414793.2	b0259	insH1	insH1	NA	insH1	trs5 // trs5-1 // yi52_1	ECK120002754	CP4-6 prophage; IS5 transposase and trans-activator
NP_414794.4	b0260	mmuP	mmuP	NA	mmuP	ykfD	ECK120002755	CP4-6 prophage; S-methyl-L-methionine transporter
NP_414795.1	b0261	mmuM	mmuM	NA	mmuM	yagD	ECK120002756	CP4-6 prophage; homocysteine S-methyltransferase
NP_414796.2	b0262	afuC	afuC	NA	afuC	fbpC // yagC	ECK120002215	CP4-6 prophage; ABC transporter ATP-binding protein AfuC
NP_414798.1	b0264	insB2	insB2	NA	insB2		ECK120002758	IS1 protein InsB
NP_414799.1	b0265	insA2	insA2	NA	insA2		ECK120002759	IS1 protein InsA
YP_009518742.1	b0266	yagB	yagB	NA	yagB		ECK120002214	CP4-6 prophage; orphan antitoxin YagB
