riType	tfName	tgName	riEvidence	tgLocusTag	tgCopLocusTag
tf-gene	FlhDC	epd	C	b2927	b2927
tf-gene	FlhDC	fliE	S	b1937	b1937
tf-gene	FlhDC	fliF	S	b1938	b1938
tf-gene	FlhDC	fliL	S	b1944	b1944
tf-gene	FlhDC	fruB	C	b2169	b2169
tf-gene	FlhDC	iclR	C	b4018	b4018
tf-gene	FlhDC	nfrB	W	b0569	b0569
tf-gene	FlhDC	pfkA	S	b3916	b3916
tf-gene	FlhDC	ptsH	C	b2415	b2415
tf-gene	FlhDC	setB	C	b2170	b2170
tf-gene	FNR	adhE	S	b1241	b1241
tf-gene	FNR	arcA	S	b4401	b4401
tf-gene	FNR	aroP	S	b0112	b0112
tf-gene	FNR	bidA	S	b1593	b1594
tf-gene	FNR	cydA	S	b0733	b0733
tf-gene	FNR	fdnG	S	b1474	b1474
tf-gene	FNR	fnr	S	b1334	b1334
tf-gene	FNR	focA	S	b0904	b0904
tf-gene	FNR	garD	S	b3128	b3128
tf-gene	FNR	grcA	S	b2579	b2579
tf-gene	FNR	katG	S	b3942	b3942
tf-gene	FNR	metV	S	b2816	b2814
tf-gene	FNR	mltA	S	b2813	b2813
tf-gene	FNR	msrB	S	b1778	b1778
tf-gene	FNR	narG	S	b1224	b1224
tf-gene	FNR	narK	S	b1223	b1223
tf-gene	FNR	ortT	S	b1445	b1445
tf-gene	FNR	pykA	S	b1854	b1854
tf-gene	FNR	thrA	S	b0002	b0001
tf-gene	FNR	ung	S	b2580	b2580
tf-gene	FNR	ydfO	S	b1549	b4533
tf-gene	FNR	yfcZ	S	b2343	b2343
tf-gene	FNR	yffS	S	b2450	b2450
tf-gene	FNR	yibN	S	b3611	b3611
tf-gene	Fur	acnA	W	b1276	b4741
tf-gene	Fur	adhP	S	b1478	b1478
tf-gene	Fur	adk	W	b0474	b0474
tf-gene	Fur	ansB	W	b2957	b2957
tf-gene	Fur	araB	S	b0063	b0063
tf-gene	Fur	araF	S	b1901	b1901
tf-gene	Fur	argG	S	b3172	b3172
tf-gene	Fur	argR	S	b3237	b3237
tf-gene	Fur	bfd	S	b3337	b3337
tf-gene	Fur	bfr	C	b3336	b3337
tf-gene	Fur	bglJ	W	b4366	b4365
tf-gene	Fur	bssR	S	b0836	b0836
tf-gene	Fur	cadC	S	b4133	b4133
tf-gene	Fur	cirA	S	b2155	b2155
tf-gene	Fur	cusC	S	b0572	b0572
tf-gene	Fur	dapB	S	b0031	b0031
tf-gene	Fur	dinB	S	b0231	b0231
tf-gene	Fur	dmsB	S	b0895	b0894
tf-gene	Fur	eamA	S	b1533	b1533
tf-gene	Fur	efeU	W	b4490	b4490
tf-gene	Fur	entB	W	b0595	b0593
tf-gene	Fur	entD	W	b0583	b0584
tf-gene	Fur	entH	W	b0597	b0593
tf-gene	Fur	erpA	S	b0156	b0156
tf-gene	Fur	fecE	S	b4287	b4291
tf-gene	Fur	fecR	S	b4292	b4293
tf-gene	Fur	feoA	S	b3408	b3408
tf-gene	Fur	fepA	C	b0584	b0584
tf-gene	Fur	fepE	S	b0587	b0585
tf-gene	Fur	flgL	S	b1083	b1082
tf-gene	Fur	ftnA	S	b1905	b1905
tf-gene	Fur	ftnB	S	b1902	b1902
tf-gene	Fur	gpr	S	b3001	b3001
tf-gene	Fur	grxB	W	b1064	b1064
tf-gene	Fur	hcaR	S	b2537	b2537
tf-gene	Fur	hscA	S	b2526	b2527
tf-gene	Fur	hybO	S	b2997	b2997
tf-gene	Fur	leuD	S	b0071	b0075
tf-gene	Fur	lysP	S	b2156	b2156
tf-gene	Fur	maeB	S	b2463	b2463
tf-gene	Fur	map	S	b0168	b0168
tf-gene	Fur	mcbA	S	b0806	b0806
tf-gene	Fur	mdh	S	b3236	b3236
tf-gene	Fur	mdtL	S	b3710	b3710
tf-gene	Fur	mglB	S	b2150	b2150
tf-gene	Fur	mntS	S	b4705	b4416
tf-gene	Fur	moaA	C	b0781	b0781
tf-gene	Fur	mocA	W	b2877	b2877
tf-gene	Fur	mqo	S	b2210	b2210
tf-gene	Fur	narQ	W	b2469	b2469
tf-gene	Fur	narU	S	b1469	b1469
tf-gene	Fur	nfeR	S	b3071	b3071
tf-gene	Fur	nrdH	S	b2673	b2673
tf-gene	Fur	nth	S	b1633	b1626
tf-gene	Fur	oppF	S	b1247	b1243
tf-gene	Fur	ortT	S	b1445	b1445
tf-gene	Fur	pdeF	S	b2503	b2503
tf-gene	Fur	pepE	W	b4021	b4021
tf-gene	Fur	phoH	S	b1020	b1020
tf-gene	Fur	pqqU	S	b1451	b1451
tf-gene	Fur	pstB	W	b3725	b3728
tf-gene	Fur	punC	W	b1660	b1660
tf-gene	Fur	purL	W	b2557	b2557
tf-gene	Fur	qorA	W	b4051	b4051
tf-gene	Fur	recN	S	b2616	b2616
tf-gene	Fur	rimK	S	b0852	b0850
tf-gene	Fur	rimO	W	b0835	b0835
tf-gene	Fur	rmf	S	b0953	b0953
tf-gene	Fur	rmuC	W	b3832	b3832
tf-gene	Fur	rsd	S	b3995	b3995
tf-gene	Fur	sdhA	S	b0723	b0721
tf-gene	Fur	sdhB	S	b0724	b0721
tf-gene	Fur	sdiA	S	b1916	b1916
tf-gene	Fur	selO	S	b1706	b1706
tf-gene	Fur	serS	S	b0893	b0893
tf-gene	Fur	sseB	S	b2522	b2522
tf-gene	Fur	sulA	S	b0958	b0958
tf-gene	Fur	tcyN	W	b1917	b1919
tf-gene	Fur	tisB	S	b4618	b4618
tf-gene	Fur	tqsA	S	b1601	b1601
tf-gene	Fur	tsx	S	b0411	b0411
tf-gene	Fur	udp	W	b3831	b3831
tf-gene	Fur	ugpA	W	b3452	b3453
tf-gene	Fur	ugpB	W	b3453	b3453
tf-gene	Fur	ugpE	S	b3451	b3453
tf-gene	Fur	uxaC	S	b3092	b3092
tf-gene	Fur	waaL	W	b3622	b3619
tf-gene	Fur	ybaN	S	b0468	b0468
tf-gene	Fur	ybiU	W	b0821	b0821
tf-gene	Fur	ybiX	S	b0804	b0804
tf-gene	Fur	ycgR	S	b1194	b1194
tf-gene	Fur	ycgZ	W	b1164	b1164
tf-gene	Fur	yciI	C	b1251	b1251
tf-gene	Fur	ydcF	S	b1414	b1414
tf-gene	Fur	yddA	S	b1496	b1496
tf-gene	Fur	yddB	S	b1495	b1496
tf-gene	Fur	ydeN	S	b1498	b1498
tf-gene	Fur	ydiE	S	b1705	b1705
tf-gene	Fur	yejG	S	b2181	b2181
tf-gene	Fur	yfcV	S	b2339	b2339
tf-gene	Fur	yghF	S	b2970	b2970
tf-gene	Fur	yghW	W	b2998	b2998
tf-gene	Fur	yhcC	W	b3211	b3211
tf-gene	Fur	yhjE	W	b3523	b3523
tf-gene	Fur	yihN	S	b3874	b3874
tf-gene	Fur	yihX	S	b3885	b3885
tf-gene	Fur	yjbJ	W	b4045	b4045
tf-gene	Fur	yjiR	S	b4340	b4340
tf-gene	Fur	yjiT	W	b4342	b4342
tf-gene	Fur	yjjZ	S	b4567	b4567
tf-gene	Fur	yncE	S	b1452	b1452
tf-gene	Fur	ynfD	W	b1586	b1586
tf-gene	Fur	yobD	S	b1820	b1817
tf-gene	Fur	yoeA	W	b4582	b4582
tf-gene	Fur	yojI	S	b2211	b2211
tf-gene	Fur	yqeB	W	b2875	b2875
tf-gene	Fur	yqeC	W	b2876	b2876
tf-gene	Fur	yrbL	S	b3207	b3207
tf-gene	Fur	zapB	S	b3928	b3928
tf-gene	GlaR	alaE	S	b2670	b2670
tf-gene	GlaR	apt	S	b0469	b0469
tf-gene	GlaR	aroB	S	b3389	b3390
tf-gene	GlaR	aroP	S	b0112	b0112
tf-gene	GlaR	baeS	S	b2078	b2074
tf-gene	GlaR	bdcA	S	b4249	b4249
tf-gene	GlaR	bssS	S	b1060	b1060
tf-gene	GlaR	cadC	S	b4133	b4133
tf-gene	GlaR	casA	S	b2760	b2760
tf-gene	GlaR	csgI	S	b0964	b0964
tf-gene	GlaR	cysN	S	b2751	b2752
tf-gene	GlaR	cysS	S	b0526	b0526
tf-gene	GlaR	dctR	S	b3507	b3506
tf-gene	GlaR	dgcN	S	b2604	b2603
tf-gene	GlaR	dinQ	S	b4613	b4613
tf-gene	GlaR	elfC	S	b0940	b0939
tf-gene	GlaR	fhuE	S	b1102	b1102
tf-gene	GlaR	gadW	S	b3515	b3517
tf-gene	GlaR	gadX	S	b3516	b3517
tf-gene	GlaR	gcvA	S	b2808	b2808
tf-gene	GlaR	gdhA	S	b1761	b1761
tf-gene	GlaR	gltF	S	b3214	b3212
tf-gene	GlaR	hinT	S	b1103	b1103
tf-gene	GlaR	htrE	S	b0139	b0140
tf-gene	GlaR	hxpA	S	b2293	b2294
tf-gene	GlaR	idnD	S	b4267	b4267
tf-gene	GlaR	idnK	S	b4268	b4268
tf-gene	GlaR	inaA	S	b2237	b2237
tf-gene	GlaR	kdsA	S	b1215	b1213
tf-gene	GlaR	ldcC	S	b0186	b0186
tf-gene	GlaR	lsrG	S	b1518	b1513
tf-gene	GlaR	mglA	S	b2149	b2150
tf-gene	GlaR	mrdA	S	b0635	b0637
tf-gene	GlaR	murD	S	b0088	b0081
tf-gene	GlaR	nlpA	S	b3661	b3661
tf-gene	GlaR	oxc	S	b2373	b2375
tf-gene	GlaR	pdhR	S	b0113	b0113
tf-gene	GlaR	pdxA	S	b0052	b0054
tf-gene	GlaR	phoH	S	b1020	b1020
tf-gene	GlaR	pliG	S	b1178	b1178
tf-gene	GlaR	ppiB	S	b0525	b0525
tf-gene	GlaR	ppx	S	b2502	b2501
tf-gene	GlaR	priC	S	b0467	b0467
tf-gene	GlaR	prmC	S	b1212	b1210
tf-gene	GlaR	rfbB	S	b2041	b2041
tf-gene	GlaR	rhsD	S	b0497	b0497
tf-gene	GlaR	rpiB	S	b4090	b4090
tf-gene	GlaR	rpsF	S	b4200	b4200
tf-gene	GlaR	rssB	S	b1235	b1234
tf-gene	GlaR	safA	S	b1500	b1500
tf-gene	GlaR	sgcC	S	b4304	b4305
tf-gene	GlaR	tam	S	b1519	b1513
tf-gene	GlaR	tar	S	b1886	b1886
tf-gene	GlaR	tehA	S	b1429	b1429
tf-gene	GlaR	ttdA	S	b3061	b3061
tf-gene	GlaR	ttdR	S	b3060	b3060
tf-gene	GlaR	ycbU	S	b0942	b0939
tf-gene	GlaR	ycbV	S	b0943	b0939
tf-gene	GlaR	ycgJ	S	b1177	b1177
tf-gene	GlaR	ycgY	S	b1196	b1196
tf-gene	GlaR	ychQ	S	b1213	b1213
tf-gene	GlaR	yciU	S	b1248	b1249
tf-gene	GlaR	ycjP	S	b1312	b1309
tf-gene	GlaR	ydeO	S	b1499	b1500
tf-gene	GlaR	ydfK	S	b1544	b4748
tf-gene	GlaR	yeaE	S	b1781	b1781
tf-gene	GlaR	yehD	S	b2111	b2111
tf-gene	GlaR	yehE	S	b2112	b2112
tf-gene	GlaR	yehS	S	b2124	b2124
tf-gene	GlaR	yfbN	S	b2273	b2273
tf-gene	GlaR	yfbO	S	b2274	b2274
tf-gene	GlaR	yfbU	S	b2294	b2294
tf-gene	GlaR	yfcO	S	b2332	b4661
tf-gene	GlaR	yfcV	S	b2339	b2339
tf-gene	GlaR	yfdV	S	b2372	b2375
tf-gene	GlaR	yfiL	S	b2602	b2602
tf-gene	GlaR	yfiR	S	b2603	b2603
tf-gene	GlaR	ygiW	S	b3024	b3024
tf-gene	GlaR	yhcD	S	b3216	b3215
tf-gene	GlaR	yigG	S	b3818	b3818
tf-gene	GlaR	yihD	S	b3858	b3858
tf-gene	GlaR	yihM	S	b3873	b3872
tf-gene	GlaR	yjdP	S	b4487	b4487
tf-gene	GlaR	yjjP	S	b4364	b4364
tf-gene	GlaR	yjjQ	S	b4365	b4365
tf-gene	GlaR	ynjH	S	b1760	b1760
tf-gene	GlaR	yobD	S	b1820	b1817
tf-gene	GlaR	ypdC	S	b2382	b2380
tf-gene	GlaR	zraR	S	b4004	b4003
tf-gene	H-NS	adiC	W	b4115	b4115
tf-gene	H-NS	ascF	W	b2715	b2715
tf-gene	H-NS	ascG	W	b2714	b2714
tf-gene	H-NS	bluF	W	b1163	b1163
tf-gene	H-NS	cbpA	W	b1000	b1000
tf-gene	H-NS	cdgI	W	b1785	b1785
tf-gene	H-NS	cycA	W	b4208	b4208
tf-gene	H-NS	ddlA	W	b0381	b0381
tf-gene	H-NS	dgcJ	W	b1786	b1786
tf-gene	H-NS	dgcT	W	b1025	b1025
tf-gene	H-NS	dgcZ	W	b1535	b1535
tf-gene	H-NS	dosC	W	b1490	b1490
tf-gene	H-NS	elfA	W	b0938	b0938
tf-gene	H-NS	fucA	W	b2800	b2800
tf-gene	H-NS	gadB	W	b1493	b1493
tf-gene	H-NS	gadC	W	b1492	b1493
tf-gene	H-NS	glvC	W	b3683	b3683
tf-gene	H-NS	hprR	W	b1969	b1969
tf-gene	H-NS	iraP	W	b0382	b0382
tf-gene	H-NS	oxc	W	b2373	b2375
tf-gene	H-NS	pagP	W	b0622	b0622
tf-gene	H-NS	pdeC	W	b4061	b4061
tf-gene	H-NS	pdeF	W	b2503	b2503
tf-gene	H-NS	pdeG	W	b1168	b1168
tf-gene	H-NS	pdeI	W	b0833	b0833
tf-gene	H-NS	pdeL	W	b0315	b0315
tf-gene	H-NS	rflP	W	b1707	b1707
tf-gene	H-NS	sfmA	W	b0530	b0530
tf-gene	H-NS	ttdR	W	b3060	b3060
tf-gene	H-NS	yadC	W	b0135	b0138
tf-gene	H-NS	ybgD	W	b0719	b0719
tf-gene	H-NS	ydcC	W	b1460	b1460
tf-gene	H-NS	yfcV	W	b2339	b2339
tf-gene	H-NS	yraH	W	b3142	b3142
tf-gene	IHF	cycA	W	b4208	b4208
tf-gene	IHF	icd	W	b1136	b1136
tf-gene	KdpE	adeP	W	b3714	b3714
tf-gene	KdpE	rmf	S	b0953	b0953
tf-gene	KdpE	rsd	S	b3995	b3995
tf-gene	LexA	yoaA	S	b1808	b1808
tf-gene	LldR	fadE	C	b0221	b0221
tf-gene	LldR	fadL	S	b2344	b2344
tf-gene	LldR	gadW	C	b3515	b3517
tf-gene	LldR	gadY	C	b4452	b4452
tf-gene	LldR	glcD	C	b2979	b2979
tf-gene	LldR	lpxP	S	b2378	b2378
tf-gene	LldR	yfdY	S	b2377	b2377
tf-gene	LldR	yhcO	C	b3239	b3239
tf-gene	Lrp	aceB	S	b4014	b4014
tf-gene	Lrp	acrZ	W	b0762	b0762
tf-gene	Lrp	adhE	W	b1241	b1241
tf-gene	Lrp	aer	W	b3072	b3072
tf-gene	Lrp	alaA	W	b2290	b2290
tf-gene	Lrp	alaE	W	b2670	b2670
tf-gene	Lrp	alaS	W	b2697	b2697
tf-gene	Lrp	amiC	W	b2817	b2817
tf-gene	Lrp	ansB	S	b2957	b2957
tf-gene	Lrp	ansB	W	b2957	b2957
tf-gene	Lrp	aphA	W	b4055	b4055
tf-gene	Lrp	arcB	W	b3210	b3210
tf-gene	Lrp	argA	W	b2818	b2818
tf-gene	Lrp	argR	W	b3237	b3237
tf-gene	Lrp	argS	W	b1876	b1876
tf-gene	Lrp	argT	W	b2310	b2310
tf-gene	Lrp	aroA	W	b0908	b0907
tf-gene	Lrp	aroG	W	b0754	b0754
tf-gene	Lrp	artI	W	b0863	b0864
tf-gene	Lrp	artP	W	b0864	b0864
tf-gene	Lrp	asnA	W	b3744	b3744
tf-gene	Lrp	asnB	W	b0674	b0674
tf-gene	Lrp	aspA	S	b4139	b4139
tf-gene	Lrp	aspA	W	b4139	b4139
tf-gene	Lrp	aspC	W	b0928	b0928
tf-gene	Lrp	aspS	W	b1866	b1866
tf-gene	Lrp	astC	W	b1748	b1748
tf-gene	Lrp	atpA	W	b3734	b3739
tf-gene	Lrp	atpH	W	b3735	b3739
tf-gene	Lrp	avtA	S	b3572	b3572
tf-gene	Lrp	borD	W	b0557	b0557
tf-gene	Lrp	brnQ	S	b0401	b0401
tf-gene	Lrp	bssS	W	b1060	b1060
tf-gene	Lrp	btuE	W	b1710	b1711
tf-gene	Lrp	can	W	b0126	b0126
tf-gene	Lrp	cbl	W	b1987	b1987
tf-gene	Lrp	chbG	W	b1733	b1738
tf-gene	Lrp	clpP	W	b0437	b0437
tf-gene	Lrp	clpS	W	b0881	b0881
tf-gene	Lrp	cpoB	W	b0742	b0740
tf-gene	Lrp	creA	W	b4397	b4397
tf-gene	Lrp	csiE	S	b2535	b2535
tf-gene	Lrp	csiE	W	b2535	b2535
tf-gene	Lrp	cycA	S	b4208	b4208
tf-gene	Lrp	cydC	W	b0886	b0887
tf-gene	Lrp	cysB	W	b1275	b1275
tf-gene	Lrp	dadA	W	b1189	b1189
tf-gene	Lrp	deaD	W	b3162	b4685
tf-gene	Lrp	dedA	W	b2317	b2320
tf-gene	Lrp	deoB	W	b4383	b4381
tf-gene	Lrp	dgcJ	W	b1786	b1786
tf-gene	Lrp	dgcM	W	b1341	b1341
tf-gene	Lrp	dgcQ	W	b1956	b1956
tf-gene	Lrp	dgcZ	W	b1535	b1535
tf-gene	Lrp	dhaK	W	b1200	b1200
tf-gene	Lrp	dppA	W	b3544	b3544
tf-gene	Lrp	dtpA	S	b1634	b1634
tf-gene	Lrp	dtpB	W	b3496	b3496
tf-gene	Lrp	eco	S	b2209	b2209
tf-gene	Lrp	emrD	W	b3673	b3673
tf-gene	Lrp	eno	W	b2779	b2780
tf-gene	Lrp	eptB	W	b3546	b3546
tf-gene	Lrp	exbB	W	b3006	b3006
tf-gene	Lrp	fadI	W	b2342	b2342
tf-gene	Lrp	fadL	W	b2344	b2344
tf-gene	Lrp	fimA	S	b4314	b4314
tf-gene	Lrp	fliA	W	b1922	b1922
tf-gene	Lrp	frdA	W	b4154	b4154
tf-gene	Lrp	frdB	W	b4153	b4154
tf-gene	Lrp	ftsQ	S	b0093	b0081
tf-gene	Lrp	fumA	W	b1612	b1612
tf-gene	Lrp	fxsA	W	b4140	b4140
tf-gene	Lrp	gadB	W	b1493	b1493
tf-gene	Lrp	gadW	W	b3515	b3517
tf-gene	Lrp	gadY	W	b4452	b4452
tf-gene	Lrp	gcvT	W	b2905	b2905
tf-gene	Lrp	gdhA	W	b1761	b1761
tf-gene	Lrp	glcA	W	b2975	b2979
tf-gene	Lrp	glgC	W	b3430	b3432
tf-gene	Lrp	glnA	W	b3870	b3870
tf-gene	Lrp	glnH	W	b0811	b0811
tf-gene	Lrp	glnK	W	b0450	b0450
tf-gene	Lrp	glnL	W	b3869	b3870
tf-gene	Lrp	glnQ	W	b0809	b0811
tf-gene	Lrp	gltP	W	b4077	b4077
tf-gene	Lrp	gpt	W	b0238	b0238
tf-gene	Lrp	groL	W	b4143	b4142
